"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"6","ENSMUSG00000063020",4.06835988593639,0.533381020350148,49.1296697598339,2.39588714178002e-12,1.85518164479724e-09,4,2,5,59,30,104,"Olfr194","olfactory receptor 194"
"7","ENSMUSG00000060583",3.45032155013979,1.68677795640284,48.4623364947985,3.36693583447775e-12,1.85518164479724e-09,5,17,17,119,85,226,"Olfr881","olfactory receptor 881"
"8","ENSMUSG00000044798",3.14811639198878,3.23871005127327,46.1212162988548,1.11158162853683e-11,4.08320984882529e-09,34,50,43,406,180,683,"Olfr923","olfactory receptor 923"
"17","ENSMUSG00000049334",4.20160844494765,-0.631173655929943,29.7313378288166,4.96260686819369e-08,1.36719819218736e-05,2,1,1,26,21,33,"Olfr902","olfactory receptor 902"
"19","ENSMUSG00000110947",2.36477865653527,1.30614855459907,28.8073507983467,7.99471066092381e-08,1.76203422966761e-05,27,12,18,99,58,142,"Olfr1333","olfactory receptor 1333"
"21","ENSMUSG00000059595",3.28641079544993,0.843725584494986,27.0768571785022,1.95524745054835e-07,3.59113781750714e-05,3,13,7,79,36,117,"Olfr935","olfactory receptor 935"
"22","ENSMUSG00000068182",2.58021171186322,1.11480488812441,25.4861348229242,4.45573545356508e-07,7.01460067118388e-05,14,17,10,55,69,146,"Olfr203","olfactory receptor 203"
"27","ENSMUSG00000096365",1.63364116384042,3.77703492510392,22.5614902428757,2.03523594196002e-06,0.000280353751004993,138,157,172,375,357,838,"Olfr1463","olfactory receptor 1463"
"39","ENSMUSG00000061342",1.99800883522659,0.456728302474121,16.9044409357988,3.93095076165619e-05,0.00481323082149458,11,14,13,50,43,61,"Olfr1168","olfactory receptor 1168"
"62","ENSMUSG00000109322",-1.59350297300148,0.880823077083595,12.0068909444452,0.000530042049736186,0.0584106338809277,58,99,37,28,20,14,"Olfr1283","olfactory receptor 1283"
"78","ENSMUSG00000095917",-1.01969463086559,4.43648833015856,10.6379980140662,0.00110787538567803,0.110988970456108,769,834,486,523,268,266,"Olfr740","olfactory receptor 740"
"89","ENSMUSG00000062037",-1.01048278240199,4.31756795382627,10.1475406579993,0.00144493881816615,0.132693548134925,492,1058,399,389,358,184,"Olfr285","olfactory receptor 285"
"98","ENSMUSG00000096356",1.60061024568023,0.20002360815575,9.41920547085229,0.00214724538369941,0.182020339448981,9,14,16,43,27,50,"Olfr889","olfactory receptor 889"
"110","ENSMUSG00000059251",4.86987069264813,-2.69154280640246,9.01089957625963,0.00268374295711728,0.211248909910232,0,0,0,6,3,2,"Olfr345","olfactory receptor 345"
"122","ENSMUSG00000094285",-0.976366107740365,5.07817581425698,8.79671774825707,0.00301772972731008,0.221702543966381,920,1631,761,605,452,543,"Olfr743","olfactory receptor 743"
"137","ENSMUSG00000075196",1.50641339517579,0.116554752476981,8.21051327916845,0.00416483682150394,0.286853136081084,9,17,13,36,32,42,"Olfr1047","olfactory receptor 1047"
"154","ENSMUSG00000075068",-0.851386851882437,6.23606413328113,7.93426739165828,0.00485072623870835,0.31444119500333,2259,2664,1987,2207,864,1066,"Olfr140","olfactory receptor 140"
"170","ENSMUSG00000073110",-4.64592097637846,-2.82108809419833,7.80769863752325,0.00520241155067621,0.318503196046955,2,5,2,0,0,0,"Olfr444","olfactory receptor 444"
"241","ENSMUSG00000111159",4.39691387398668,-2.89430777644706,6.78512416552199,0.00919206359157581,0.499619104613804,0,0,0,3,4,1,"Olfr1337","olfactory receptor 1337"
"244","ENSMUSG00000048299",1.84421567077207,-1.08947827091815,6.73120478167338,0.00947405881180022,0.499619104613804,4,3,5,16,7,23,"Olfr148","olfactory receptor 148"
"251","ENSMUSG00000063764",1.44236949462819,0.763168891222209,6.66168274794981,0.0098507851562965,0.499619104613804,29,21,11,65,26,87,"Olfr508","olfactory receptor 508"
"254","ENSMUSG00000071522",-0.871051513958097,2.47926911956463,6.6394902357823,0.00997424709755325,0.499619104613804,168,151,211,105,78,107,"Olfr263","olfactory receptor 263"
"266","ENSMUSG00000045479",-1.74022031811982,-0.437575900387094,6.48675007786666,0.0108681487408292,0.520726083147556,13,17,44,0,11,15,"Olfr459","olfactory receptor 459"
"290","ENSMUSG00000075174",1.21185070967126,1.16087364469089,6.20833365347461,0.0127150264128062,0.583831629454685,23,38,30,61,41,128,"Olfr1087","olfactory receptor 1087"
"301","ENSMUSG00000043698",-1.15676668393081,0.921255253870376,6.11320478756741,0.0134175620195732,0.591446133822787,73,52,55,41,11,36,"Olfr62","olfactory receptor 62"
"331","ENSMUSG00000061457",-2.07183260833925,-1.31351582902929,5.80867150143306,0.0159473370020962,0.66495906930399,10,12,16,4,6,0,"Olfr871","olfactory receptor 871"
"353","ENSMUSG00000059887",-0.703538280555,3.81783740786557,5.7046115229224,0.0169203996975721,0.66495906930399,422,306,570,224,196,389,"Olfr1507","olfactory receptor 1507"
"354","ENSMUSG00000060480",-0.870537981487688,2.02764625224524,5.69674521409241,0.016996402851347,0.66495906930399,98,126,161,61,54,98,"Olfr171","olfactory receptor 171"
"362","ENSMUSG00000059488",-0.643166887341246,4.99649061586821,5.64563048916892,0.0174989228764208,0.66495906930399,855,932,1076,517,515,850,"Olfr727","olfactory receptor 727"
"376","ENSMUSG00000095765",-0.775569051767515,3.4951491593026,5.54473895773179,0.0185363212466728,0.680900867127781,251,447,355,185,180,239,"Olfr741","olfactory receptor 741"
"401","ENSMUSG00000059112",-0.80740902843187,2.35721823323555,5.39530241282962,0.0201910262695187,0.710745682534879,123,136,219,64,74,143,"Olfr1263","olfactory receptor 1263"
"410","ENSMUSG00000094426",1.43508651513576,-0.331445108431319,5.35704527681126,0.0206387131044611,0.710745682534879,4,11,11,8,20,53,"Olfr478","olfactory receptor 478"
"505","ENSMUSG00000075188",1.02051241339382,0.574634212271116,4.91666127120947,0.0265988718510341,0.870348476128186,14,28,28,39,40,61,"Olfr1056","olfactory receptor 1056"
"524","ENSMUSG00000061210",1.05465415759558,1.44255302452778,4.83776437554947,0.0278429683799288,0.870348476128186,19,44,61,73,38,161,"Olfr47","olfactory receptor 47"
