"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"67","ENSMUSG00000096705",-5.65740726542641,-2.43044700833316,14.5455420846097,0.000136811974904393,0.137138314172104,2,5,11,0,0,0,"Olfr1329","olfactory receptor 1329"
"82","ENSMUSG00000062892",2.11285834303925,-0.291087608728909,13.1248722253883,0.000291401230798354,0.137138314172104,3,8,10,35,35,37,"Olfr1450","olfactory receptor 1450"
"90","ENSMUSG00000075064",5.79178901654632,-2.29712984645427,12.6611385596846,0.000373334793571972,0.137138314172104,0,0,0,0,6,16,"Olfr1506","olfactory receptor 1506"
"126","ENSMUSG00000096254",2.2471767003864,-0.673904984399911,10.0158428653866,0.00155199374171293,0.406095528200036,0,5,11,17,16,46,"Olfr724","olfactory receptor 724"
"135","ENSMUSG00000073955",5.1024389909613,-2.63901144288,9.70014103990867,0.00184253869419254,0.406095528200036,0,0,0,8,1,6,"Olfr593","olfactory receptor 593"
"225","ENSMUSG00000109322",1.42094726367719,0.843684155837647,7.80310575631713,0.00521565119165072,0.592977855848519,4,40,37,60,70,83,"Olfr1283","olfactory receptor 1283"
"247","ENSMUSG00000059488",1.01142304652101,4.68245784128147,7.57596770114844,0.00591516147799812,0.592977855848519,184,468,722,962,905,1132,"Olfr727","olfactory receptor 727"
"249","ENSMUSG00000060523",1.03270320496132,3.70871394333901,7.55260967958822,0.00599232302114962,0.592977855848519,83,229,379,394,443,688,"Olfr726","olfactory receptor 726"
"250","ENSMUSG00000075427",1.0756925785667,2.93403754218329,7.50836002487866,0.00614132641234101,0.592977855848519,110,87,155,483,202,271,"Olfr288","olfactory receptor 288"
"262","ENSMUSG00000046913",1.77732267654215,-0.764070894270589,7.38646991628858,0.00657163403068987,0.592977855848519,4,3,9,16,11,45,"Olfr1451","olfactory receptor 1451"
"282","ENSMUSG00000060254",1.70529116406413,-0.0105701466562732,7.07719387332113,0.00780711750311329,0.592977855848519,1,19,17,40,30,51,"Olfr980","olfactory receptor 980"
"322","ENSMUSG00000059864",1.07573130918913,1.17535702965847,6.72023689600648,0.00953249643990847,0.592977855848519,16,31,64,62,92,105,"Olfr1393","olfactory receptor 1393"
"346","ENSMUSG00000061361",1.01324098311944,2.89794942003485,6.49074973948727,0.0108437235053947,0.592977855848519,61,137,184,266,317,290,"Olfr168","olfactory receptor 168"
"351","ENSMUSG00000099486",1.08605390390547,3.21157002502306,6.46287392314707,0.011015135044057,0.592977855848519,53,189,240,352,296,444,"Olfr1228","olfactory receptor 1228"
"353","ENSMUSG00000094810",3.36397754207313,-2.53404100826853,6.45691753927573,0.0110521205596736,0.592977855848519,0,0,1,7,1,8,"Olfr907","olfactory receptor 907"
"354","ENSMUSG00000067525",0.843192700251238,4.32326117491203,6.42090670372464,0.0112784562939258,0.592977855848519,147,338,628,439,693,1130,"Olfr1427","olfactory receptor 1427"
"358","ENSMUSG00000063844",1.3305684705412,-0.228176655169737,6.4023109944811,0.0113971911685362,0.592977855848519,10,12,10,32,37,31,"Olfr1276","olfactory receptor 1276"
"370","ENSMUSG00000096679",2.41355845061545,-2.02810608259602,6.35333499152489,0.0117160845909364,0.592977855848519,0,2,2,5,10,10,"Olfr498","olfactory receptor 498"
"371","ENSMUSG00000042894",1.04696127528853,2.18860419667767,6.34474311879999,0.0117729656995263,0.592977855848519,32,89,111,174,170,189,"Olfr1260","olfactory receptor 1260"
"390","ENSMUSG00000074965",1.42813937534032,-0.091036321753245,6.25544331661369,0.0123812259956337,0.592977855848519,2,19,18,28,38,42,"Olfr1277","olfactory receptor 1277"
"413","ENSMUSG00000042219",-4.22841147182741,-3.17218469545967,6.107294675536,0.013462504045983,0.592977855848519,4,2,0,0,0,0,"Olfr631","olfactory receptor 631"
"431","ENSMUSG00000051190",1.78431246855605,-0.59100921152708,5.97287111668064,0.014527608500004,0.592977855848519,0,11,12,23,19,36,"Olfr1356","olfactory receptor 1356"
"454","ENSMUSG00000075073",1.03450321503094,0.792840277727834,5.86157094361357,0.0154749761942768,0.592977855848519,12,26,46,41,73,82,"Olfr1256","olfactory receptor 1256"
"456","ENSMUSG00000074945",2.16913432286861,-1.75057203828544,5.84919600338745,0.0155841695287611,0.592977855848519,3,0,3,13,8,11,"Olfr1314","olfactory receptor 1314"
"460","ENSMUSG00000075379",0.977700785614487,1.1350132498206,5.8381938456572,0.0156819163669979,0.592977855848519,17,42,51,68,93,88,"Olfr358","olfactory receptor 358"
"527","ENSMUSG00000096427",1.29308742224663,-0.378703813492624,5.51582405762989,0.0188451930706462,0.592977855848519,8,11,10,28,24,37,"Olfr895","olfactory receptor 895"
"541","ENSMUSG00000044487",0.94267176128053,1.95938345392663,5.46299219602126,0.0194233581735647,0.592977855848519,27,81,98,124,133,185,"Olfr1112","olfactory receptor 1112"
"546","ENSMUSG00000073928",1.33889997594873,-0.333002776594526,5.44612467483807,0.019611784293242,0.592977855848519,6,6,20,24,28,38,"Olfr651","olfactory receptor 651"
"552","ENSMUSG00000067513",4.22193048701925,-2.99257709204205,5.39908731559025,0.0201472846493745,0.592977855848519,0,0,0,7,2,0,"Olfr1436","olfactory receptor 1436"
"560","ENSMUSG00000095189",1.88681306565565,-1.39607059137898,5.35166057097492,0.02070254471193,0.592977855848519,0,3,8,9,10,22,"Olfr1472","olfactory receptor 1472"
"572","ENSMUSG00000096228",1.07124250607598,0.869148895364864,5.33788615653259,0.0208667613076085,0.592977855848519,7,34,53,46,84,72,"Olfr5","olfactory receptor 5"
"588","ENSMUSG00000082882",1.71440821684698,-1.30669384122697,5.29840274682804,0.0213449889875295,0.592977855848519,4,5,2,15,13,17,"Olfr1186","olfactory receptor 1186"
"596","ENSMUSG00000046300",0.877501939216453,2.56180091569322,5.27275854878123,0.0216616597749016,0.592977855848519,60,124,124,188,282,206,"Olfr1412","olfactory receptor 1412"
"598","ENSMUSG00000062245",0.92655675647147,2.01781491703562,5.26411609774476,0.0217694749663702,0.592977855848519,29,70,120,128,136,192,"Olfr170","olfactory receptor 170"
"613","ENSMUSG00000096069",0.893409966036273,1.70805490363263,5.22888782412276,0.0222147326758804,0.592977855848519,30,59,83,112,122,135,"Olfr61","olfactory receptor 61"
"656","ENSMUSG00000035932",1.1293854699247,0.677724449066952,5.06456123298335,0.0244198864378709,0.592977855848519,6,20,54,56,33,92,"Olfr750","olfactory receptor 750"
"665","ENSMUSG00000075200",0.959826207613733,0.750351844217362,5.03600816531129,0.0248256332385027,0.592977855848519,11,30,44,45,59,83,"Olfr1044","olfactory receptor 1044"
"679","ENSMUSG00000075119",0.899205566106699,1.50329589003338,5.0240294700659,0.0249979315624966,0.592977855848519,21,50,81,83,106,126,"Olfr1197","olfactory receptor 1197"
"682","ENSMUSG00000093866",1.9057239101005,-1.83751128476312,5.00882476036265,0.0252184217289146,0.592977855848519,3,1,2,12,6,11,"Olfr802","olfactory receptor 802"
"690","ENSMUSG00000057564",0.904181554005159,1.42802778899453,4.99788818391178,0.0253782657899569,0.592977855848519,22,57,62,97,95,111,"Olfr1508","olfactory receptor 1508"
"703","ENSMUSG00000073971",0.968408646810734,0.673290160280233,4.95563708574891,0.0260057410796109,0.592977855848519,29,20,26,60,57,64,"Olfr554","olfactory receptor 554"
"720","ENSMUSG00000063173",1.00438682485785,0.591714200678655,4.86986612817918,0.0273296204971437,0.592977855848519,8,29,36,36,43,91,"Olfr811","olfactory receptor 811"
"723","ENSMUSG00000109058",1.04399577644005,1.21933385130882,4.861816581673,0.0274574111040538,0.592977855848519,8,41,79,69,73,113,"Olfr705","olfactory receptor 705"
"733","ENSMUSG00000047969",0.97651113406327,0.858590802168479,4.81624092006361,0.0281927654928141,0.592977855848519,10,28,58,49,68,81,"Olfr1093","olfactory receptor 1093"
"765","ENSMUSG00000094192",0.93584155742463,1.54046546058899,4.73427765864551,0.029567261734083,0.592977855848519,15,40,110,62,111,140,"Olfr452","olfactory receptor 452"
"767","ENSMUSG00000071522",0.870958346215882,2.64049882328429,4.73098511969942,0.0296239132942084,0.592977855848519,30,122,209,127,232,320,"Olfr263","olfactory receptor 263"
"809","ENSMUSG00000049028",0.902029844500035,0.743258131250564,4.64436094038223,0.0311557354317089,0.592977855848519,22,22,38,73,42,75,"Olfr873","olfactory receptor 873"
"817","ENSMUSG00000056281",0.861242091348467,1.11929179494747,4.63718920800041,0.0312862045547413,0.592977855848519,15,34,66,51,62,127,"Olfr1322","olfactory receptor 1322"
"820","ENSMUSG00000075127",1.95471536444027,-1.57220684812419,4.62616796744269,0.0314878163690147,0.592977855848519,0,3,5,14,5,18,"Olfr1179","olfactory receptor 1179"
"865","ENSMUSG00000073925",0.992748769323137,0.655354582887465,4.5312733245961,0.0332808461097466,0.592977855848519,24,16,33,41,64,74,"Olfr654","olfactory receptor 654"
"878","ENSMUSG00000050158",1.20713552717081,-0.179772811321167,4.51673338532412,0.0335648588827153,0.592977855848519,13,3,23,35,21,42,"Olfr165","olfactory receptor 165"
"879","ENSMUSG00000073914",0.955589012631241,0.492359717401147,4.51623468382182,0.0335746449558601,0.592977855848519,20,13,35,47,41,69,"Olfr677","olfactory receptor 677"
"928","ENSMUSG00000048292",0.821806391533099,2.56026035359335,4.45131174862972,0.0348744488350711,0.592977855848519,38,125,171,133,252,262,"Olfr1417","olfactory receptor 1417"
"947","ENSMUSG00000096773",1.60162341183983,-1.23931796726996,4.40013861882016,0.0359360095199613,0.592977855848519,3,2,8,12,19,15,"Olfr675","olfactory receptor 675"
"968","ENSMUSG00000074947",0.864868460609991,1.05879524355052,4.36546205535752,0.0366745359542723,0.592977855848519,11,29,74,44,53,129,"Olfr1312","olfactory receptor 1312"
"977","ENSMUSG00000051313",0.795485575863836,2.55528168266831,4.33173005284789,0.0374082052641191,0.592977855848519,66,90,170,205,186,266,"Olfr1262","olfactory receptor 1262"
"979","ENSMUSG00000056995",1.24811618302093,0.207562684736994,4.32306955396947,0.0375990398504331,0.592977855848519,3,20,31,52,37,42,"Olfr1178","olfactory receptor 1178"
"986","ENSMUSG00000058820",1.22103657615585,-0.187374387182215,4.30242329416665,0.0380581074466891,0.592977855848519,3,16,20,34,28,36,"Olfr146","olfactory receptor 146"
"1002","ENSMUSG00000094819",0.826430820824187,1.6460462420689,4.25992508298011,0.0390216423002255,0.592977855848519,41,31,97,87,94,165,"Olfr53","olfactory receptor 53"
"1003","ENSMUSG00000050776",1.34730229927924,0.00626229475216305,4.2525754627705,0.039190853373821,0.592977855848519,0,23,24,20,25,66,"Olfr1317","olfactory receptor 1317"
"1008","ENSMUSG00000057997",0.7846044250572,2.34648527244359,4.24056455734731,0.039469040338719,0.592977855848519,64,86,127,190,173,208,"Olfr541","olfactory receptor 541"
"1021","ENSMUSG00000067526",0.908544301138313,0.720679241468633,4.20134977126769,0.0403918171359015,0.592977855848519,13,20,53,37,61,81,"Olfr1425","olfactory receptor 1425"
"1024","ENSMUSG00000110970",0.785828560726829,1.6837455291995,4.19061793570802,0.0406482783609532,0.592977855848519,24,62,91,76,102,175,"Olfr156","olfactory receptor 156"
"1049","ENSMUSG00000096000",-3.75756936872456,-3.1853740109773,4.17374563929885,0.0410549423320873,0.592977855848519,0,0,6,0,0,0,"Olfr773","olfactory receptor 773"
"1061","ENSMUSG00000090129",0.818350647539071,2.87935736541247,4.15143270996404,0.0415993119148746,0.592977855848519,45,136,247,194,210,403,"Olfr287","olfactory receptor 287"
"1068","ENSMUSG00000046210",1.28099344693532,-0.721989335216209,4.12209998432767,0.0423265071890987,0.592977855848519,3,5,17,15,18,32,"Olfr735","olfactory receptor 735"
"1084","ENSMUSG00000050603",-3.35986538243843,-3.44535257967373,4.08459962494036,0.0432757028239904,0.592977855848519,2,0,1,0,0,0,"Olfr1008","olfactory receptor 1008"
"1105","ENSMUSG00000050251",0.949002517234341,0.19547757093148,4.0812911341663,0.0433605139769538,0.592977855848519,13,13,29,38,34,54,"Olfr809","olfactory receptor 809"
"1129","ENSMUSG00000094701",1.1328649907116,-0.344138081189118,4.03884421684612,0.0444642640376505,0.592977855848519,11,8,13,21,29,38,"Olfr916","olfactory receptor 916"
"1131","ENSMUSG00000060205",0.845754863111915,0.795751726438699,4.02325137400492,0.0448771188351112,0.592977855848519,27,36,24,76,52,66,"Olfr57","olfactory receptor 57"
"1147","ENSMUSG00000056959",0.809647182922211,2.27129111759777,3.99739147101942,0.0455707398332036,0.592977855848519,39,97,137,162,170,200,"Olfr315","olfactory receptor 315"
"1151","ENSMUSG00000073964",0.818641936493696,0.863471690666794,3.99127804166736,0.045736360392799,0.592977855848519,18,33,42,40,75,85,"Olfr570","olfactory receptor 570"
"1152","ENSMUSG00000057179",0.808589551220541,1.33961022282712,3.99020204779029,0.045765576003246,0.592977855848519,33,25,80,75,74,127,"Olfr747","olfactory receptor 747"
"1180","ENSMUSG00000094755",3.47764632895772,-3.36615508216854,3.95965991226344,0.0466031178572725,0.592977855848519,0,0,0,0,2,2,"Olfr1453","olfactory receptor 1453"
"1188","ENSMUSG00000093920",0.76515710135818,2.55523335632159,3.9575173118188,0.0466624765750562,0.592977855848519,73,89,166,202,205,245,"Olfr463","olfactory receptor 463"
"1193","ENSMUSG00000059964",0.81793510005021,0.826100761287031,3.94205056002681,0.0470933400369542,0.592977855848519,17,32,44,56,56,82,"Olfr119","olfactory receptor 119"
"1194","ENSMUSG00000094285",0.666088277473536,5.48601607439884,3.94085696749899,0.0471267643230362,0.592977855848519,417,1122,1153,1467,1908,1469,"Olfr743","olfactory receptor 743"
"1208","ENSMUSG00000096708",-3.27872685298776,-3.44854303924639,3.920329957579,0.0477055162031002,0.592977855848519,1,0,2,0,0,0,"Olfr1475","olfactory receptor 1475"
"1229","ENSMUSG00000058628",0.933484108288261,0.273624979313033,3.90669629282256,0.048094052983421,0.592977855848519,12,19,27,52,32,51,"Olfr875","olfactory receptor 875"
"1231","ENSMUSG00000095706",0.912693210331869,0.493731285231018,3.90239545175982,0.0482173115106747,0.592977855848519,22,18,25,41,36,83,"Olfr209","olfactory receptor 209"
"1232","ENSMUSG00000043385",0.992153480843171,0.148089364859732,3.89770505942794,0.0483521143851324,0.592977855848519,9,11,31,17,38,68,"Olfr267","olfactory receptor 267"
"1235","ENSMUSG00000061165",1.0812922222786,-0.0755381788286483,3.88427263658992,0.0487403705245571,0.592977855848519,9,11,21,25,50,31,"Olfr160","olfactory receptor 160"
"1299","ENSMUSG00000109354",0.810093038093039,1.04146680212464,3.83884029787732,0.0500781473995259,0.592977855848519,10,33,73,35,68,115,"Olfr706","olfactory receptor 706"
"1311","ENSMUSG00000093825",0.891771269788614,1.28513483767757,3.82601097084505,0.0504628965823452,0.592977855848519,10,62,66,68,77,117,"Olfr723","olfactory receptor 723"
"1318","ENSMUSG00000095156",0.78517488529017,1.46445293439082,3.8170001643217,0.0507349960718627,0.592977855848519,26,60,65,104,89,111,"Olfr1281","olfactory receptor 1281"
"1325","ENSMUSG00000048226",0.785763644315342,0.939849434801888,3.80274683055701,0.0511685761467959,0.592977855848519,19,40,43,59,65,85,"Olfr1212","olfactory receptor 1212"
"1329","ENSMUSG00000110912",0.998472759063416,-0.111296406576733,3.7988777751622,0.051286945974221,0.592977855848519,9,14,18,26,25,52,"Olfr1080","olfactory receptor 1080"
"1331","ENSMUSG00000075165",0.976739137730689,-0.0698964624722227,3.79574638591393,0.0513829596755497,0.592977855848519,14,11,18,46,28,32,"Olfr1105","olfactory receptor 1105"
"1345","ENSMUSG00000054938",0.73307221548185,2.11861822457398,3.79401326301867,0.0514361818668476,0.592977855848519,59,88,90,144,153,185,"Olfr1346","olfactory receptor 1346"
