"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"2","ENSMUSG00000063881",3.0454195560139,4.58205740300034,95.9605711844168,1.1719440404672e-22,8.88261579325653e-20,121,168,128,1286,884,1176,"Olfr376","olfactory receptor 376"
"3","ENSMUSG00000062128",3.18836827539384,3.36013922906762,95.329304963943,1.61208998062732e-22,8.88261579325653e-20,69,48,46,622,483,350,"Olfr20","olfactory receptor 20"
"5","ENSMUSG00000069823",2.56725013590761,3.87727159673716,75.1178537175344,4.43438237425833e-18,1.62889645881089e-15,155,116,67,873,828,312,"Olfr1","olfactory receptor 1"
"6","ENSMUSG00000062712",2.19204291291257,5.19563991759812,70.4877027907092,4.6314451626871e-17,1.2759631423203e-14,429,281,313,2347,1178,1181,"Olfr531","olfactory receptor 531"
"8","ENSMUSG00000058244",2.78791089659116,3.33243739933172,65.5286419017686,5.72754848958739e-16,1.26235168710506e-13,78,61,51,733,426,228,"Olfr506","olfactory receptor 506"
"9","ENSMUSG00000063350",2.77653247812841,3.29275232140004,61.5832421019665,4.2441546327141e-15,7.7950973420849e-13,66,71,50,695,430,227,"Olfr874","olfactory receptor 874"
"11","ENSMUSG00000062782",1.99390595862403,4.82714604623314,51.3086304013432,7.89278810824823e-13,1.24255035646994e-10,347,298,241,1694,1279,656,"Olfr527","olfactory receptor 527"
"13","ENSMUSG00000071629",2.67772180295788,3.08978253830944,48.9757199668029,2.59150662486388e-12,3.56980037574999e-10,66,45,66,555,398,210,"Olfr1477","olfactory receptor 1477"
"15","ENSMUSG00000063137",2.4942297347508,1.75795041487175,40.7448971356946,1.73455794906837e-10,2.12386984430372e-08,31,33,18,187,140,118,"Olfr177","olfactory receptor 177"
"16","ENSMUSG00000049362",2.67041196152523,1.39454517034882,39.2146034632243,3.796896996184e-10,4.18418048979477e-08,28,22,8,170,103,74,"Olfr173","olfactory receptor 173"
"17","ENSMUSG00000047960",2.26821574919783,3.36832512465988,39.0045657985003,4.22815523060005e-10,4.23584278556478e-08,82,108,78,669,482,217,"Olfr186","olfactory receptor 186"
"21","ENSMUSG00000075210",2.03493722721806,2.22590937182601,32.4524534681901,1.22144650409628e-08,1.12169503959508e-06,42,87,25,189,325,94,"Olfr1012","olfactory receptor 1012"
"22","ENSMUSG00000046881",2.01101608008203,2.07826888322634,31.6143792377458,1.88032125558305e-08,1.59393386434809e-06,60,30,45,210,131,178,"Olfr374","olfactory receptor 374"
"23","ENSMUSG00000058014",2.16844286984713,1.82433382738861,31.3449971197236,2.16014609540219e-08,1.70034356938087e-06,36,34,30,194,175,88,"Olfr502","olfactory receptor 502"
"24","ENSMUSG00000090894",1.517539140567,4.35550565716347,30.5996767563304,3.17146578523012e-08,2.32997019688239e-06,342,291,200,1193,692,513,"Olfr110","olfactory receptor 110"
"27","ENSMUSG00000090629",1.94744506706133,2.56893317200672,27.4573819207769,1.60594705440125e-07,1.10609603371886e-05,61,90,38,355,301,100,"Olfr180","olfactory receptor 180"
"29","ENSMUSG00000075176",2.59806883865199,1.78959213757554,27.1400857432928,1.89233152577786e-07,1.22667608318071e-05,20,22,28,239,172,59,"Olfr1085","olfactory receptor 1085"
"31","ENSMUSG00000094612",1.50277635245386,3.34251168730521,24.4983993872679,7.43715943175934e-07,4.55319427433266e-05,173,172,86,528,406,248,"Olfr491","olfactory receptor 491"
"33","ENSMUSG00000111747",1.87273283365403,1.6537195703073,23.4331861472906,1.29328126056787e-06,7.50103131129365e-05,46,30,31,153,151,83,"Olfr1134","olfactory receptor 1134"
"34","ENSMUSG00000047969",1.73959972470436,2.46714854628579,23.1147689015277,1.52613963207736e-06,8.40902937274625e-05,60,76,66,290,207,171,"Olfr1093","olfactory receptor 1093"
"35","ENSMUSG00000044213",1.92247877211612,1.82126423271478,21.7949979995405,3.03390055636579e-06,0.000159207543481671,28,59,28,173,220,59,"Olfr1094","olfactory receptor 1094"
"37","ENSMUSG00000075155",2.59381287503963,0.635203752451379,20.6175885282775,5.60785408060526e-06,0.000280902508946682,7,12,13,77,106,27,"Olfr1133","olfactory receptor 1133"
"39","ENSMUSG00000044560",2.59660091078201,1.27850522184791,20.0163236279273,7.6783889316165e-06,0.000367894982723538,25,7,19,126,168,38,"Olfr1302","olfactory receptor 1302"
"48","ENSMUSG00000096695",1.69802404475005,2.64423904397838,16.7463437408865,4.2724516294466e-05,0.00196176737318756,68,75,79,356,302,113,"Olfr196","olfactory receptor 196"
