"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"5","ENSMUSG00000044798",3.79461964546985,3.96964493143092,126.754812370677,2.10202984533448e-29,2.3164368895586e-26,34,50,43,181,1290,844,"Olfr923","olfactory receptor 923"
"7","ENSMUSG00000060583",3.40686184763867,1.80846405084538,88.0776972834492,6.29332289135242e-21,3.46762091313518e-18,5,17,17,27,309,157,"Olfr881","olfactory receptor 881"
"8","ENSMUSG00000058244",2.5119791599721,2.15895044818159,71.6107502568849,2.62124663172824e-17,9.62871262721507e-15,17,43,28,78,374,136,"Olfr506","olfactory receptor 506"
"16","ENSMUSG00000096365",1.66772019901058,3.86242527698683,35.28950035743,2.841598788625e-09,7.82860466266188e-07,138,157,172,218,875,684,"Olfr1463","olfactory receptor 1463"
"21","ENSMUSG00000058014",1.77049793232289,1.47919563745497,31.183811040624,2.34715351639526e-08,4.78939909938286e-06,16,41,29,37,177,117,"Olfr502","olfactory receptor 502"
"22","ENSMUSG00000049334",4.23125320616591,-0.377992528298598,30.979517826671,2.6076583118237e-08,4.78939909938286e-06,2,1,1,8,63,31,"Olfr902","olfactory receptor 902"
"25","ENSMUSG00000059595",2.63710293723662,0.416923191538242,29.6217552885813,5.25122440232701e-08,8.26692755909195e-06,3,13,7,29,117,23,"Olfr935","olfactory receptor 935"
"33","ENSMUSG00000096356",2.00530381577869,0.530616565123492,23.7114534673534,1.11914518823558e-06,0.000154162249679451,9,14,16,27,71,73,"Olfr889","olfactory receptor 889"
"36","ENSMUSG00000075196",2.03027928041956,0.665055496125059,23.3336112571916,1.36199039992706e-06,0.000166768157857736,9,17,13,24,122,46,"Olfr1047","olfactory receptor 1047"
"37","ENSMUSG00000063020",2.97816283025806,-0.287970052460273,22.1101911291463,2.57439411047406e-06,0.000283698230974241,4,2,5,11,33,59,"Olfr194","olfactory receptor 194"
"42","ENSMUSG00000096465",1.3750969583209,1.46818476720518,20.5173568996743,5.90929667868124e-06,0.000592004085446066,30,43,32,70,167,68,"Olfr488","olfactory receptor 488"
"54","ENSMUSG00000061210",1.26544439495732,1.58292324871416,17.658372138629,2.64349095876156e-05,0.00242760586379603,19,44,61,35,158,134,"Olfr47","olfactory receptor 47"
"71","ENSMUSG00000095903",1.457307044497,0.683000099297155,15.5414527730296,8.07157461057613e-05,0.00684221170834992,13,27,19,38,89,47,"Olfr968","olfactory receptor 968"
"80","ENSMUSG00000110947",1.66435162418466,0.816977776066419,14.0617636180141,0.000176903822752055,0.0139248580480546,27,12,18,47,107,46,"Olfr1333","olfactory receptor 1333"
"89","ENSMUSG00000061342",1.62872487020876,0.269123923208064,13.3727632789807,0.000255304921416244,0.0187564015600467,11,14,13,27,75,32,"Olfr1168","olfactory receptor 1168"
"114","ENSMUSG00000059873",1.66886416056759,0.365106072516826,11.6239823105047,0.000651068538129999,0.0448423455637037,3,17,27,35,34,70,"Olfr1029","olfactory receptor 1029"
"135","ENSMUSG00000075188",1.29261386363796,0.949220327230553,10.6235856152659,0.00111654335887463,0.0723782812635201,14,28,28,24,142,48,"Olfr1056","olfactory receptor 1056"
"137","ENSMUSG00000094426",1.66642329845816,-0.314244922011237,10.4401742437579,0.00123303637515547,0.0754892269678515,4,11,11,18,30,37,"Olfr478","olfactory receptor 478"
"204","ENSMUSG00000096566",1.82425055767261,-0.777982285047032,8.65197846185814,0.00326706407464681,0.189489716329515,2,6,9,20,18,22,"Olfr1306","olfactory receptor 1306"
"223","ENSMUSG00000048996",1.0732517146785,0.858530225402758,8.35472744855122,0.00384685164421551,0.211961525596275,18,32,33,69,62,50,"Olfr1366","olfactory receptor 1366"
"257","ENSMUSG00000059371",-4.51394564388707,-2.92580627458143,7.84709800666651,0.00509023506563703,0.267116144872953,2,3,3,0,0,0,"Olfr427","olfactory receptor 427"
"315","ENSMUSG00000109631",2.03731312370043,-1.29161519434995,7.18892293324349,0.00733549990245715,0.367441858750354,2,7,1,16,16,8,"Olfr494","olfactory receptor 494"
"346","ENSMUSG00000095910",1.04768770921708,0.515408079875877,7.0109309566469,0.00810135431190266,0.369318745363156,20,21,22,33,71,39,"Olfr469","olfactory receptor 469"
"351","ENSMUSG00000062037",-0.534997922774057,4.46237120700316,6.98746088728032,0.00820827152675673,0.369318745363156,492,1058,399,378,548,382,"Olfr285","olfactory receptor 285"
"356","ENSMUSG00000063660",-4.44544011292796,-2.92667886669382,6.95075760115545,0.00837837444108792,0.369318745363156,0,4,4,0,0,0,"Olfr98","olfactory receptor 98"
"388","ENSMUSG00000067526",-1.11490109403543,0.434872322262747,6.74666564661749,0.00939230490855105,0.398089231123971,42,58,30,23,17,21,"Olfr1425","olfactory receptor 1425"
