"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"71","ENSMUSG00000049498",2.07211152780989,-0.471419919474348,10.8103854774612,0.0010093228466277,1,4,5,9,21,27,39,"Olfr1449","olfactory receptor 1449"
"88","ENSMUSG00000095484",-2.66790923124326,-1.800669121446,9.42687776130699,0.00213828034041803,1,10,10,8,2,2,1,"Olfr1480","olfactory receptor 1480"
"144","ENSMUSG00000073955",4.93718009000826,-2.79715739710736,7.60815843604354,0.00581047955981768,1,0,0,0,0,4,7,"Olfr593","olfactory receptor 593"
"145","ENSMUSG00000073960",4.70905966105165,-2.83152282670959,7.56014972658261,0.00596730340936131,1,0,0,0,6,3,2,"Olfr583","olfactory receptor 583"
"153","ENSMUSG00000096705",-3.02749576498235,-2.30907596698224,7.32489864536909,0.00680057992567477,1,2,5,11,0,1,1,"Olfr1329","olfactory receptor 1329"
"155","ENSMUSG00000060254",1.63500758261835,-0.0656807000591252,7.30478444536872,0.00687712462867012,1,1,19,17,21,39,45,"Olfr980","olfactory receptor 980"
"224","ENSMUSG00000060759",4.60511530064276,-2.93002325939661,6.32291275127826,0.0119187691224354,1,0,0,0,0,2,7,"Olfr503","olfactory receptor 503"
"250","ENSMUSG00000096273",1.65907593200244,-0.625317003407286,6.02173680672152,0.0141307338417242,1,5,3,11,13,14,46,"Olfr1474","olfactory receptor 1474"
"273","ENSMUSG00000075139",1.64092425403312,-0.396709723163705,5.87687693819487,0.015341009448216,1,0,14,16,14,34,32,"Olfr1162","olfactory receptor 1162"
"336","ENSMUSG00000094986",1.37620585425601,-0.409031776756838,5.38019274875001,0.0203666277833301,1,5,12,11,22,26,34,"Olfr1454","olfactory receptor 1454"
"468","ENSMUSG00000078116",-2.6307882898694,-2.54264336507596,4.67178068859139,0.0306621201558397,1,7,3,3,0,1,1,"Olfr828","olfactory receptor 828"
"508","ENSMUSG00000096254",1.75441273815883,-1.1182963197326,4.50064896794518,0.0338819924175692,1,0,5,11,14,19,14,"Olfr724","olfactory receptor 724"
"553","ENSMUSG00000096229",3.8059175318192,-3.23723541808316,4.4325305423029,0.0352601933531737,1,0,0,0,0,4,1,"Olfr774","olfactory receptor 774"
"595","ENSMUSG00000063615",0.933718576866864,0.783597857212611,4.26060476944749,0.0390060325621954,1,18,24,43,50,64,67,"Olfr64","olfactory receptor 64"
"639","ENSMUSG00000095903",1.16555866773494,-0.1194127073075,4.15600310016013,0.041487193585056,1,13,14,10,26,43,30,"Olfr968","olfactory receptor 968"
"819","ENSMUSG00000059411",1.17600189881463,-0.362838661563969,3.83381148578083,0.0502285898304199,1,4,11,19,27,21,33,"Olfr434","olfactory receptor 434"
"823","ENSMUSG00000064084",-1.42259416369816,-0.914787861555058,3.81839857702091,0.0506926667128541,1,7,24,16,2,18,4,"Olfr1202","olfactory receptor 1202"
"882","ENSMUSG00000111239",-3.41492668039582,-3.41033725311684,3.75317650291406,0.0527072567068106,1,3,0,0,0,0,0,"Olfr1248","olfactory receptor 1248"
"941","ENSMUSG00000066257",-1.25671720527264,-0.730275128031946,3.67452887980865,0.0552498658449915,1,15,24,16,5,11,11,"Olfr206","olfactory receptor 206"
"967","ENSMUSG00000094755",3.39436038816398,-3.26303600279033,3.62170582781527,0.0570303697326176,1,0,0,0,4,0,1,"Olfr1453","olfactory receptor 1453"
"969","ENSMUSG00000073964",0.877268597742937,0.914942917701536,3.61829043907422,0.0571475686289746,1,18,33,42,53,97,49,"Olfr570","olfactory receptor 570"
"1015","ENSMUSG00000047050",1.45598999347855,-1.44601279188042,3.55942349663934,0.0592082988759309,1,3,3,5,8,16,12,"Olfr914","olfactory receptor 914"
"1039","ENSMUSG00000075137",1.75322336527807,-1.95017501364863,3.49233304636332,0.0616536386035721,1,0,2,5,7,6,10,"Olfr1163","olfactory receptor 1163"
"1043","ENSMUSG00000035932",1.01463926090003,0.573864446528332,3.48214687738019,0.0620342101755747,1,6,20,54,31,67,49,"Olfr750","olfactory receptor 750"
"1051","ENSMUSG00000061520",-3.22982502433385,-3.32450541782057,3.47137115328601,0.062439533470392,1,0,4,0,0,0,0,"Olfr153","olfactory receptor 153"
"1139","ENSMUSG00000062272",-1.32357358328559,-1.26659627309513,3.40945121199003,0.06482400123004,1,10,9,18,8,5,4,"Olfr1129","olfactory receptor 1129"
"1149","ENSMUSG00000096000",-3.50334273464754,-3.15471741663669,3.38401371256828,0.0658315547884628,1,0,0,6,0,0,0,"Olfr773","olfactory receptor 773"
"1165","ENSMUSG00000046913",1.41934905131293,-0.69784447254877,3.35164371811502,0.0671379416033025,1,4,3,9,12,3,56,"Olfr1451","olfactory receptor 1451"
"1212","ENSMUSG00000075193",1.64526664567068,-1.64861352807796,3.30482543249939,0.0690766844744685,1,1,2,6,11,14,6,"Olfr1051","olfactory receptor 1051"
"1349","ENSMUSG00000070875",1.20935426993377,-0.683772858794867,3.17065684371065,0.0749722890692118,1,5,6,14,25,25,15,"Olfr1100","olfactory receptor 1100"
"1436","ENSMUSG00000063777",-1.36067084986952,-1.78431642630142,2.99404820537277,0.0835710076385944,1,11,7,5,6,3,2,"Olfr1469","olfactory receptor 1469"
"1506","ENSMUSG00000058820",1.03066927880804,-0.316709756867255,2.90988996111804,0.0880378812976237,1,3,16,20,22,30,27,"Olfr146","olfactory receptor 146"
"1509","ENSMUSG00000063173",0.839152664887825,0.565322615842796,2.9050135426668,0.0883045118221702,1,8,29,36,17,78,54,"Olfr811","olfactory receptor 811"
"1567","ENSMUSG00000060335",-2.88910463312971,-3.42012185846324,2.85252589612338,0.0912304991085974,1,0,0,3,0,0,0,"Olfr384","olfactory receptor 384"
"1671","ENSMUSG00000051362",-2.91394077292634,-3.51391997406123,2.83475427557471,0.0922449105727421,1,2,0,0,0,0,0,"Olfr589","olfactory receptor 589"
