"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"19","ENSMUSG00000070852",2.91385580959418,0.477032969714149,23.0754426664935,1.55767526847132e-06,0.00171655814585539,9,13,3,33,99,71,"Olfr1121","olfactory receptor 1121"
"82","ENSMUSG00000075072",1.53653481993047,3.07109121923937,9.47745820026776,0.00208011970299981,1,55,261,87,316,365,306,"Olfr48","olfactory receptor 48"
"150","ENSMUSG00000111159",4.86613087285378,-2.71021983551188,7.47219616812825,0.00626590701427046,1,0,0,0,1,12,1,"Olfr1337","olfactory receptor 1337"
"156","ENSMUSG00000042894",1.00936777334374,3.38481808707565,7.35442672240869,0.00668978371226228,1,103,267,201,221,515,456,"Olfr1260","olfactory receptor 1260"
"257","ENSMUSG00000093866",-2.14861683060033,-1.4282053322443,6.25001425153057,0.0124192307299211,1,12,16,11,1,8,2,"Olfr802","olfactory receptor 802"
"284","ENSMUSG00000049015",1.6471978918735,-0.00764318040587124,6.06912482632862,0.0137565106236621,1,12,29,2,29,56,27,"Olfr1467","olfactory receptor 1467"
"336","ENSMUSG00000095312",4.32344336370719,-3.08223408565786,5.668773204645,0.0172695292861347,1,0,0,0,1,1,6,"Olfr382","olfactory receptor 382"
"409","ENSMUSG00000091601",1.26757591850565,3.3874438566729,5.22289016428963,0.0222914731843275,1,149,441,32,228,572,309,"Olfr93","olfactory receptor 93"
"453","ENSMUSG00000045479",-1.71392885386065,-1.03218405516314,4.97022998844524,0.025787218324606,1,20,17,15,2,10,6,"Olfr459","olfactory receptor 459"
"476","ENSMUSG00000066240",-2.69363802600208,-2.52770618387014,4.82768776570234,0.0280061668172041,1,2,6,7,1,0,1,"Olfr517","olfactory receptor 517"
"526","ENSMUSG00000044441",0.978712515381557,1.84992322650756,4.61799693963075,0.0316381637728318,1,62,111,31,91,173,126,"Olfr1442","olfactory receptor 1442"
"575","ENSMUSG00000091983",2.06544921283048,-0.809619457718845,4.44107462861799,0.0350841572567311,1,5,15,0,16,20,28,"Olfr457","olfactory receptor 457"
"747","ENSMUSG00000075194",2.15288043847928,-2.31858444220757,4.06746150060924,0.0437169257486245,1,2,0,2,5,6,7,"Olfr1049","olfactory receptor 1049"
"793","ENSMUSG00000055610",-1.80179355914923,-1.89201811951283,3.96708597584818,0.046398001080899,1,8,11,6,1,5,2,"Olfr307","olfactory receptor 307"
