"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000044040",2.67178656718671,2.15403295897031,97.7613356766306,4.7197396569343e-23,5.2011531019416e-20,25,44,29,247,302,191,"Olfr1497","olfactory receptor 1497"
"3","ENSMUSG00000054526",2.14599745927101,3.02300946431119,56.4575957440406,5.74234711769856e-14,3.16403326185191e-11,57,117,72,599,307,402,"Olfr1500","olfactory receptor 1500"
"5","ENSMUSG00000066242",2.64452615917973,2.17734343325991,53.0532210081211,3.246322162958e-13,1.19248234119324e-10,17,55,30,370,208,177,"Olfr467","olfactory receptor 467"
"10","ENSMUSG00000050128",2.67220267869767,0.627028785857216,42.8827888541565,5.81197404796232e-11,1.60119885021362e-08,9,18,6,107,82,57,"Olfr1023","olfactory receptor 1023"
"49","ENSMUSG00000059366",1.89170067288255,3.34248126482655,20.9012380467768,4.83581947465034e-06,0.00106581461221293,56,148,119,995,290,339,"Olfr959","olfactory receptor 959"
"72","ENSMUSG00000075199",1.47273340138328,2.54939764757144,18.0876488063891,2.10965481924449e-05,0.00387473268467905,47,134,72,440,238,170,"Olfr52","olfactory receptor 52"
"82","ENSMUSG00000044170",0.553189126877526,5.22920996161409,16.8923619098956,3.95604526858093e-05,0.00572935903533366,916,806,749,1878,964,1652,"Olfr1384","olfactory receptor 1384"
"83","ENSMUSG00000075200",1.68936490694891,2.05659831813347,16.7972998337133,4.15924430877217e-05,0.00572935903533366,31,78,44,351,107,171,"Olfr1044","olfactory receptor 1044"
"87","ENSMUSG00000096000",-5.78876783672554,-2.55943384820241,16.5547646892953,4.72650781209332e-05,0.00578734623214093,4,8,7,0,0,0,"Olfr773","olfactory receptor 773"
"98","ENSMUSG00000054236",1.49637822322818,2.27602925769629,15.0537218538953,0.00010449400173011,0.0115152389906581,28,102,87,321,184,187,"Olfr481","olfactory receptor 481"
"122","ENSMUSG00000091531",1.25020299992812,1.45068048414962,13.4747772239623,0.000241791897165672,0.0242231518796882,37,41,41,221,68,94,"Olfr102","olfactory receptor 102"
"182","ENSMUSG00000075064",3.74595536632691,-1.97455225562511,11.2204544410149,0.000809006822369201,0.0709801489549113,0,0,2,1,16,16,"Olfr1506","olfactory receptor 1506"
"183","ENSMUSG00000075166",0.6989635062024,3.42405122196205,11.1565967638108,0.000837333880593328,0.0709801489549113,220,332,137,574,405,321,"Olfr1104","olfactory receptor 1104"
"194","ENSMUSG00000090097",1.12316350045813,0.72979634884079,10.9419201586552,0.000940126883413179,0.0738717371260746,15,32,37,47,70,97,"Olfr1182","olfactory receptor 1182"
"200","ENSMUSG00000063583",0.999756883796584,1.17157317741234,10.8173857969878,0.00100551366324058,0.0738717371260746,39,55,28,93,107,85,"Olfr1410","olfactory receptor 1410"
"338","ENSMUSG00000058515",1.14677569885499,0.657107267619473,8.58143381449185,0.00339607847136445,0.21448563706099,22,23,30,41,93,72,"Olfr933","olfactory receptor 933"
"341","ENSMUSG00000047225",1.1045362789071,0.540558892840771,8.55866814509628,0.00343880905752472,0.21448563706099,23,39,13,52,78,53,"Olfr684","olfactory receptor 684"
"346","ENSMUSG00000062037",0.526394560847666,3.71963071876345,8.52479860967189,0.00350339516070582,0.21448563706099,303,349,231,616,573,353,"Olfr285","olfactory receptor 285"
"366","ENSMUSG00000090951",0.872285634532387,1.76726894986788,8.36393869138142,0.00382740087135672,0.22198925053869,39,71,90,127,176,120,"Olfr181","olfactory receptor 181"
"447","ENSMUSG00000075139",0.936661542982122,0.842413180664072,7.71443696807171,0.00547809424110475,0.280030928721979,21,54,27,73,82,65,"Olfr1162","olfactory receptor 1162"
"452","ENSMUSG00000049028",0.797004807274585,1.61894545398672,7.68460622841796,0.0055693830667488,0.280030928721979,57,66,57,102,157,119,"Olfr873","olfactory receptor 873"
"454","ENSMUSG00000046790",0.594218593457213,3.09447119591859,7.67779161214618,0.00559045411241701,0.280030928721979,234,234,103,387,352,252,"Olfr1341","olfactory receptor 1341"
"485","ENSMUSG00000036744",0.689017727208469,1.91765039749759,7.38561862168514,0.00657474520871586,0.31501605304369,47,103,93,126,153,172,"Olfr701","olfactory receptor 701"
"523","ENSMUSG00000052508",0.288042327518505,6.20354866035106,7.15549095153787,0.00747348354088382,0.343157452585582,1314,2380,1953,2707,2811,2517,"Olfr536","olfactory receptor 536"
"534","ENSMUSG00000050023",0.612880734244375,2.66687413100695,7.02831200357669,0.00802309436422246,0.349933564894826,108,210,99,174,360,218,"Olfr1176","olfactory receptor 1176"
"545","ENSMUSG00000095218",1.01458186084744,0.290293871591197,6.97705288624243,0.00825614581421549,0.349933564894826,18,24,21,45,51,56,"Olfr1338","olfactory receptor 1338"
