"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"74","ENSMUSG00000058200",2.70578559948492,-0.198121735756583,8.85932346529764,0.0029159562757217,1,11,7,0,85,13,23,"Olfr66","olfactory receptor 66"
"101","ENSMUSG00000073967",1.81961401181159,3.87677274038466,7.9181513738987,0.00489412547244981,1,221,189,111,944,365,724,"Olfr557","olfactory receptor 557"
"148","ENSMUSG00000075064",-5.17616814994207,-2.56854149567221,6.58191005926286,0.0103020287171708,1,0,0,17,0,0,0,"Olfr1506","olfactory receptor 1506"
"231","ENSMUSG00000056564",1.59025183608229,0.166815708799887,5.70428771516678,0.0169235213528507,1,16,17,10,43,38,59,"Olfr324","olfactory receptor 324"
"301","ENSMUSG00000043948",1.4090227159607,2.30559837675234,5.18096781624873,0.0228356008606941,1,92,62,56,314,106,220,"Olfr691","olfactory receptor 691"
"343","ENSMUSG00000069816",1.62020119693961,-0.388680588491763,4.94772717014437,0.0261249920321445,1,10,8,9,26,21,48,"Olfr23","olfactory receptor 23"
"390","ENSMUSG00000043354",1.32085555853745,1.88999769750631,4.74295761455484,0.0294184543314846,1,74,72,29,204,124,120,"Olfr577","olfactory receptor 577"
"399","ENSMUSG00000063216",1.78929216598502,-0.947727765200911,4.72951249228015,0.0296492879695269,1,11,2,4,37,9,15,"Olfr1351","olfactory receptor 1351"
"450","ENSMUSG00000059303",2.63403236180639,-1.88499813454342,4.44712652627742,0.0349600246749978,1,0,4,1,10,5,15,"Olfr836","olfactory receptor 836"
"767","ENSMUSG00000091983",2.3401771260127,-0.623673192569475,3.68355438554348,0.0549515878797834,1,5,15,0,29,10,42,"Olfr457","olfactory receptor 457"
"770","ENSMUSG00000075085",1.17075035483617,2.37783772290199,3.67348197034158,0.0552845754094216,1,68,121,74,198,182,239,"Olfr1242","olfactory receptor 1242"
"805","ENSMUSG00000093866",-1.90487416055402,-1.3549486241827,3.63579056508089,0.0565497414348076,1,12,16,11,7,7,0,"Olfr802","olfactory receptor 802"
"873","ENSMUSG00000066257",-1.27157234736142,0.16309536687922,3.53245139247857,0.0601787524393493,1,30,38,48,8,13,42,"Olfr206","olfactory receptor 206"
"922","ENSMUSG00000110621",2.95296160358633,-2.14090614598721,3.45193807806312,0.0631776485954345,1,3,0,0,2,5,18,"Olfr837","olfactory receptor 837"
"926","ENSMUSG00000066122",1.13999512765834,0.961758157180927,3.44189056383308,0.063562919625437,1,27,35,32,93,46,93,"Olfr45","olfactory receptor 45"
"1005","ENSMUSG00000045150",1.72087235385901,-1.79405594298752,3.29593687136299,0.0694514774924318,1,2,2,4,5,11,14,"Olfr1161","olfactory receptor 1161"
"1069","ENSMUSG00000059503",2.13072253803633,-2.37452935148997,3.27127085494879,0.0705029874226846,1,0,3,1,5,6,6,"Olfr248","olfactory receptor 248"
"1206","ENSMUSG00000096409",1.76122700569762,-1.08604936247077,3.18324395445676,0.0743968938234992,1,3,12,2,18,11,23,"Olfr890","olfactory receptor 890"
"1274","ENSMUSG00000094755",3.27215061967745,-3.41859508095022,3.09543551550685,0.0785121409721117,1,0,0,0,4,0,0,"Olfr1453","olfactory receptor 1453"
"1402","ENSMUSG00000070380",1.50148195647327,-1.03758430834311,2.99089221184049,0.0837340215594921,1,6,12,1,25,20,6,"Olfr401","olfactory receptor 401"
"1439","ENSMUSG00000111159",3.03409394662222,-3.50698508024614,2.96707149383731,0.0849755550889467,1,0,0,0,1,2,0,"Olfr1337","olfactory receptor 1337"
"1447","ENSMUSG00000075215",1.47904774069268,-1.24464699964021,2.95753438044084,0.0854781952640089,1,4,3,9,16,14,15,"Olfr1000","olfactory receptor 1000"
"1472","ENSMUSG00000095312",3.17713978350003,-3.43521891564364,2.95213951382691,0.0857639474703275,1,0,0,0,0,0,4,"Olfr382","olfactory receptor 382"
"1536","ENSMUSG00000066263",1.46814773751411,-0.0831220287325214,2.90878909892405,0.088097997394897,1,21,15,3,44,15,55,"Olfr639","olfactory receptor 639"
"1557","ENSMUSG00000045126",1.98706545037088,-2.38406617107033,2.88494752706658,0.0894109192521667,1,2,2,0,6,4,7,"Olfr1445","olfactory receptor 1445"
"1562","ENSMUSG00000059366",1.03936772551268,1.51324795380232,2.878711554405,0.0897578151401607,1,62,60,30,126,79,123,"Olfr959","olfactory receptor 959"
"1635","ENSMUSG00000063764",1.11889089298068,-0.0630455489171119,2.7909085707168,0.0948004634125332,1,18,9,18,52,17,41,"Olfr508","olfactory receptor 508"
"1686","ENSMUSG00000046650",0.963929532591688,1.10775360817946,2.77147560792924,0.0959576649525455,1,32,40,43,67,67,113,"Olfr1440","olfactory receptor 1440"
