"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"2","ENSMUSG00000063881",3.43292441971164,4.68579742966454,275.374070865676,7.65060502531623e-62,8.43096673789848e-59,196,83,81,1010,1283,802,"Olfr376","olfactory receptor 376"
"3","ENSMUSG00000062782",2.02859721665211,5.09276039073138,205.781710311013,1.14345907677823e-46,6.30045951304805e-44,435,377,246,1237,1301,1028,"Olfr527","olfactory receptor 527"
"4","ENSMUSG00000075066",3.20201382080676,3.75001800024253,181.578511077648,2.19167137918689e-41,8.05073953287984e-39,73,86,44,545,806,280,"Olfr32","olfactory receptor 32"
"5","ENSMUSG00000054054",1.87383026501715,5.65053684486238,176.811852124622,2.40744328245508e-40,6.63250624316375e-38,840,576,334,1572,2375,1293,"Olfr309","olfactory receptor 309"
"7","ENSMUSG00000067525",2.22923746687462,6.36982196026751,78.549770516246,7.80078965078462e-19,1.71929403903293e-16,869,536,592,4985,2230,1541,"Olfr1427","olfactory receptor 1427"
"9","ENSMUSG00000101391",1.86826961575938,3.35947053438876,60.4078961248555,7.71030584718056e-15,1.41612617393216e-12,145,100,96,394,403,254,"Olfr1217","olfactory receptor 1217"
"10","ENSMUSG00000111448",2.48376999392843,2.04894587313706,59.4533171613053,1.25229824761792e-14,1.97147524124993e-12,55,24,22,157,210,95,"Olfr912","olfactory receptor 912"
"11","ENSMUSG00000049149",1.52472422300507,5.18645599642256,54.775210455079,1.35134575620934e-13,1.86147877917837e-11,559,428,440,1296,1508,764,"Olfr1258","olfactory receptor 1258"
"12","ENSMUSG00000096840",1.64079846333761,4.09424667386762,53.2697505341412,2.90749442095536e-13,3.56006539099201e-11,327,160,170,575,756,376,"Olfr136","olfactory receptor 136"
"13","ENSMUSG00000096069",2.05922176134767,2.79657995689058,51.243140749847,8.16053797383161e-13,8.99291284716243e-11,86,72,46,317,292,128,"Olfr61","olfactory receptor 61"
"15","ENSMUSG00000094858",2.1260828461463,2.35220639935473,42.2156303921219,8.1744063964406e-11,8.18926895352504e-09,52,83,22,222,200,113,"Olfr1297","olfactory receptor 1297"
"17","ENSMUSG00000075104",1.81003340848347,2.6863376112291,41.4233562995678,1.22583977028837e-10,1.12572952238149e-08,115,56,57,221,273,160,"Olfr1219","olfactory receptor 1219"
"18","ENSMUSG00000068806",1.96490192174966,2.50905927747331,40.2406107680162,2.24531873501929e-10,1.90333941999328e-08,123,48,31,190,238,155,"Olfr1259","olfactory receptor 1259"
"21","ENSMUSG00000084336",2.74918092267344,0.66624633052382,36.8082157204871,1.30339826055119e-09,1.02596063080529e-07,23,4,8,61,56,56,"Olfr1269","olfactory receptor 1269"
"23","ENSMUSG00000109219",2.22073161769974,2.68873541336809,36.1787867868037,1.8001950752122e-09,1.3225433152559e-07,61,43,67,285,265,140,"Olfr1299","olfactory receptor 1299"
"24","ENSMUSG00000082980",1.59349519257442,3.01276501705547,33.8628081086231,5.91384751951938e-09,4.07316247906897e-07,131,95,76,370,260,158,"Olfr1274","olfactory receptor 1274"
"27","ENSMUSG00000045225",2.98986792685488,0.479384570671569,32.5954342538526,1.1348102036506e-08,7.35624026131154e-07,11,10,2,24,98,42,"Olfr1152","olfactory receptor 1152"
"28","ENSMUSG00000068818",2.91494133944903,0.215539323978907,31.5122762047649,1.98183341763918e-08,1.21332245902132e-06,5,9,6,49,43,37,"Olfr1132","olfactory receptor 1132"
"29","ENSMUSG00000101480",2.39639785000832,1.00659115626505,31.367990491778,2.13471439371434e-08,1.23813434835432e-06,41,14,4,78,62,69,"Olfr1220","olfactory receptor 1220"
"30","ENSMUSG00000059910",2.24430952113711,1.42966047180295,31.2039861951186,2.3228860156029e-08,1.2799101945972e-06,23,19,27,101,139,53,"Olfr1265","olfactory receptor 1265"
"37","ENSMUSG00000075065",1.839318856029,2.85578883153208,28.0391829635219,1.18883767990602e-07,6.23856725360207e-06,142,55,46,317,359,83,"Olfr1270","olfactory receptor 1270"
"39","ENSMUSG00000061489",1.29645159954997,3.16954300232655,26.8364067527998,2.21426342533278e-07,1.10914467941669e-05,216,99,91,397,273,156,"Olfr525","olfactory receptor 525"
"40","ENSMUSG00000046790",1.17604582324232,3.59869439589733,25.7904649865094,3.80563890541299e-07,1.82339742337614e-05,301,168,122,411,486,212,"Olfr1341","olfactory receptor 1341"
