"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"5","ENSMUSG00000096695",4.16545970700879,3.07495363373194,61.9122333768748,3.59111609877824e-15,3.95740994085362e-12,7,80,14,332,679,376,"Olfr196","olfactory receptor 196"
"11","ENSMUSG00000060114",3.00109144886076,2.70940981298607,54.6692805868224,1.42618244740109e-13,7.85826528518000e-11,41,66,15,256,569,220,"Olfr910","olfactory receptor 910"
"12","ENSMUSG00000047050",4.06440123640586,1.02181424839829,51.2101084916017,8.29901744473179e-13,3.04850574136481e-10,2,15,3,93,164,72,"Olfr914","olfactory receptor 914"
"17","ENSMUSG00000111448",2.79810558735194,2.32503387119503,44.1462243579843,3.04739021364524e-11,8.39556003859264e-09,23,67,18,201,392,178,"Olfr912","olfactory receptor 912"
"19","ENSMUSG00000075176",3.93275189872211,0.898136937610816,42.1992899701776,8.24299413190184e-11,1.81675590667117e-08,0,16,5,67,165,68,"Olfr1085","olfactory receptor 1085"
"25","ENSMUSG00000042774",2.77816407859717,2.01032311284319,40.5411961469447,1.92513996151922e-10,3.5358403959903e-08,15,38,28,188,223,187,"Olfr1353","olfactory receptor 1353"
"33","ENSMUSG00000049926",2.37632966491427,1.96024072492465,28.3929548533845,9.90250181699883e-08,1.55893671461896e-05,28,32,26,85,192,278,"Olfr921","olfactory receptor 921"
"36","ENSMUSG00000063881",2.04793693151765,3.40058667909618,25.6382737171913,4.11790218125349e-07,5.67241025467668e-05,104,191,47,278,727,488,"Olfr376","olfactory receptor 376"
"41","ENSMUSG00000047960",2.28021947833417,2.09683027254146,23.9613561743791,9.82888199392209e-07,0.000120349199525579,60,41,17,182,182,229,"Olfr186","olfactory receptor 186"
"75","ENSMUSG00000046493",2.56711437769031,2.90839946944316,15.9948487861204,6.3515066733033e-05,0.00699936035398024,46,138,18,287,260,488,"Olfr1352","olfactory receptor 1352"
"78","ENSMUSG00000036744",2.31801447332596,0.67919950845781,15.6210350879288,7.73888891891979e-05,0.0077529596260451,3,37,10,41,97,75,"Olfr701","olfactory receptor 701"
"79","ENSMUSG00000063230",1.67462280762574,2.09995289661298,15.2991107964951,9.17596945530594e-05,0.00840243024360297,34,64,45,91,166,296,"Olfr535","olfactory receptor 535"
"81","ENSMUSG00000062128",1.88118571807333,0.785137270775127,15.1533701404531,9.91212279190913e-05,0.00840243024360297,13,38,7,64,150,26,"Olfr20","olfactory receptor 20"
"94","ENSMUSG00000068806",1.64398333407523,1.2841148204189,14.1650853033339,0.000167449073230946,0.013180634192893,14,54,27,65,138,106,"Olfr1259","olfactory receptor 1259"
