"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000057654",3.12746482513569,4.78697663612452,323.163447086097,2.96376926822457e-72,3.26607373358348e-69,276,252,157,2206,1726,2090,"Olfr328","olfactory receptor 328"
"2","ENSMUSG00000059279",2.72336000226056,4.85990089706274,251.586902122134,1.17080615793435e-56,6.45114193021827e-54,408,243,270,2239,1855,2017,"Olfr224","olfactory receptor 224"
"3","ENSMUSG00000050818",2.89460871930797,4.16846946983852,226.472302286745,3.505096607946e-51,1.28753882065216e-48,186,160,153,1547,1027,1266,"Olfr330","olfactory receptor 330"
"5","ENSMUSG00000072707",2.58284980561756,3.89093737424143,153.065950249048,3.70560902770697e-35,1.02089528713327e-32,183,173,150,1051,1022,1024,"Olfr31","olfactory receptor 31"
"6","ENSMUSG00000064252",2.30764904730072,4.10940662535262,120.77008491077,4.29086816140131e-28,9.45707342772849e-26,254,233,183,1529,803,1149,"Olfr329","olfactory receptor 329"
"8","ENSMUSG00000050763",1.75004384196824,4.6462761921166,95.6008179851233,1.40548331181216e-22,2.58140434936167e-20,519,445,382,1454,1205,2069,"Olfr1395","olfactory receptor 1395"
"9","ENSMUSG00000056959",2.4759633875739,3.46108564071731,91.4729064093732,1.13130586716933e-21,1.78099866517229e-19,198,80,127,976,599,655,"Olfr315","olfactory receptor 315"
"10","ENSMUSG00000063823",2.68274022067214,2.02208436094218,80.7850076543448,2.51660027477226e-19,3.46661687849879e-17,37,41,51,281,287,279,"Olfr532","olfactory receptor 532"
"11","ENSMUSG00000050158",2.28382033683961,1.64116654889337,60.6420772428203,6.84550284649054e-15,8.38193792981397e-13,54,42,29,227,159,234,"Olfr165","olfactory receptor 165"
"12","ENSMUSG00000060765",2.48753200892027,2.50888391177984,54.9434456263532,1.24048375297165e-13,1.36701309577476e-11,126,38,56,385,317,444,"Olfr325","olfactory receptor 325"
"13","ENSMUSG00000052417",1.88522866057247,2.92558016366555,51.4747617546511,7.25234577186809e-13,7.26553185508967e-11,151,143,94,434,447,575,"Olfr720","olfactory receptor 720"
"18","ENSMUSG00000059910",1.7022228717828,1.32665169552,31.0603788109828,2.50125284509042e-08,2.29698386274137e-06,57,29,53,154,139,161,"Olfr1265","olfactory receptor 1265"
"24","ENSMUSG00000081836",2.9734742443987,-0.315070498121155,29.5470627824346,5.45752946328386e-08,4.62630574502986e-06,12,7,2,48,45,70,"Olfr1180","olfactory receptor 1180"
"39","ENSMUSG00000075127",1.99317795275939,-0.178505146612749,20.8637321274893,4.93144014558243e-06,0.000388174788602274,16,14,10,44,68,52,"Olfr1179","olfactory receptor 1179"
"42","ENSMUSG00000061798",1.82237380588867,0.0142619927369444,19.6889056012301,9.11288942327393e-06,0.000669493609629858,21,17,12,52,51,81,"Olfr1204","olfactory receptor 1204"
"45","ENSMUSG00000094285",0.681884368645439,4.97714891846247,19.032483464695,1.28512019593171e-05,0.000885126534947965,1389,619,871,1776,1041,1810,"Olfr743","olfactory receptor 743"
"52","ENSMUSG00000094858",1.18726726393661,1.73725881294355,16.8269418768028,4.09478201127231e-05,0.00265438222142476,96,80,64,143,203,216,"Olfr1297","olfactory receptor 1297"
"79","ENSMUSG00000052508",0.474329682066298,5.8660417717124,13.5665542752332,0.000230251673392203,0.014096519115456,2523,1678,1607,3283,2246,2664,"Olfr536","olfactory receptor 536"
"96","ENSMUSG00000062245",0.975657806178994,2.19440094385879,11.9171824487512,0.000556185389437406,0.0322587525873696,153,93,110,210,173,354,"Olfr170","olfactory receptor 170"
"100","ENSMUSG00000061489",0.914705626566802,2.36107200437619,11.5013837901796,0.000695443964796665,0.0365175947452707,118,166,135,270,212,334,"Olfr525","olfactory receptor 525"
"101","ENSMUSG00000075203",-4.15405596090691,-2.79873709426067,11.5001951620606,0.000695888829084105,0.0365175947452707,6,9,7,0,0,1,"Olfr1040","olfactory receptor 1040"
"113","ENSMUSG00000089892",1.42744064266646,-0.238670029864672,11.1038434412483,0.000861489967181379,0.0431528156288127,21,15,15,39,42,62,"Olfr1199","olfactory receptor 1199"
"121","ENSMUSG00000090129",0.87049146310218,2.2166240228662,10.6582645101913,0.00109580164151406,0.0525031916934128,131,127,127,279,225,221,"Olfr287","olfactory receptor 287"
"157","ENSMUSG00000108534",1.17895755648527,0.387852715926951,9.98212187693486,0.00158067428370278,0.0725792941933526,55,26,16,78,53,77,"Olfr1360","olfactory receptor 1360"
"183","ENSMUSG00000056883",0.792351121488336,3.07446663639722,9.30456856484802,0.00228583129215938,0.100759443358385,331,185,221,402,379,500,"Olfr533","olfactory receptor 533"
"194","ENSMUSG00000040328",0.835575687773821,2.16866389590592,9.03625280569535,0.00264677606043022,0.109541885856338,200,105,89,245,214,222,"Olfr56","olfactory receptor 56"
"195","ENSMUSG00000061361",0.716625369787404,3.58137098033875,9.01080924051919,0.00268387560628052,0.109541885856338,482,266,263,1047,411,369,"Olfr168","olfactory receptor 168"
"231","ENSMUSG00000107645",0.510387902054065,4.61959599912785,8.57811182213186,0.00340227997309221,0.133904018940986,590,932,919,999,1296,1217,"Olfr1380","olfactory receptor 1380"
"249","ENSMUSG00000070983",1.20062152069036,0.0715521780510158,8.39382606543043,0.003764975840556,0.143069081941128,38,11,25,75,46,45,"Olfr270","olfactory receptor 270"
"255","ENSMUSG00000044170",0.496308247680328,5.06383891353947,8.2898339515106,0.00398676340623254,0.146447109122275,380,1557,1506,653,2226,1875,"Olfr1384","olfactory receptor 1384"
"323","ENSMUSG00000059887",0.542145760692698,3.94375737397374,7.50673996255215,0.00614685289638535,0.211927630593957,684,408,407,862,648,678,"Olfr1507","olfactory receptor 1507"
"325","ENSMUSG00000108167",0.700082412454377,3.80960919186756,7.50465335241179,0.00615397838385355,0.211927630593957,533,328,412,594,817,692,"Olfr1386","olfactory receptor 1386"
"354","ENSMUSG00000063216",-1.37481085595357,-0.520767087570143,7.32172523889235,0.00681259828212313,0.227499494148475,35,26,48,6,16,24,"Olfr1351","olfactory receptor 1351"
"360","ENSMUSG00000099486",0.618585333225764,3.40614376719132,7.26057152086852,0.00704848567133723,0.228453859112166,476,293,223,692,346,507,"Olfr1228","olfactory receptor 1228"
"397","ENSMUSG00000045341",0.729211920633426,2.93345452940641,6.97062250839691,0.00828586666778031,0.260886430511254,218,190,250,533,279,341,"Olfr167","olfactory receptor 167"
"424","ENSMUSG00000100923",-2.09211134999381,-2.13872702592508,6.7760449603854,0.00923893841055685,0.282814170234268,10,10,14,1,2,6,"Olfr10","olfactory receptor 10"
"472","ENSMUSG00000073963",0.875439447015862,0.352361878042704,6.4915237320596,0.0108390033744065,0.314681676072173,42,31,30,76,69,49,"Olfr572","olfactory receptor 572"
"473","ENSMUSG00000095917",0.546940402141703,4.43557422523855,6.48954212138737,0.0108510922783508,0.314681676072173,1148,428,555,1039,665,1329,"Olfr740","olfactory receptor 740"
"541","ENSMUSG00000044040",0.879399857776559,0.179782155390362,6.11714525804274,0.0133876834079873,0.365840793494287,31,38,23,54,75,44,"Olfr1497","olfactory receptor 1497"
"550","ENSMUSG00000059134",-1.29951050949344,-0.72232089172035,6.0636804365439,0.013798981503291,0.365840793494287,39,23,32,7,14,19,"Olfr814","olfactory receptor 814"
"561","ENSMUSG00000050366",0.661432120056166,3.55391492374377,6.01967384535068,0.0141472609911184,0.365840793494287,545,238,320,622,594,487,"Olfr524","olfactory receptor 524"
"563","ENSMUSG00000107822",0.930114454239403,0.306234436638724,6.01303301888801,0.0142005983197761,0.365840793494287,40,31,26,43,84,66,"Olfr1358","olfactory receptor 1358"
"579","ENSMUSG00000094747",0.816271773909827,0.310626226256593,5.97029648359094,0.0145488344796311,0.365840793494287,43,32,28,73,52,60,"Olfr1307","olfactory receptor 1307"
"598","ENSMUSG00000060480",0.635353914967095,2.06105872524369,5.91822852517425,0.0149850176001799,0.365840793494287,153,103,128,219,180,208,"Olfr171","olfactory receptor 171"
"615","ENSMUSG00000059874",2.02142771624169,-1.27409856362897,5.86202585014688,0.0154709772674856,0.365840793494287,3,25,0,29,24,9,"Olfr603","olfactory receptor 603"
"619","ENSMUSG00000057447",0.958798927822477,-0.0711081318404034,5.84758092460771,0.0155984790224972,0.365840793494287,43,20,13,66,36,40,"Olfr1205","olfactory receptor 1205"
"620","ENSMUSG00000062782",0.566920292746184,3.54506130361935,5.84706981400416,0.0156030102488489,0.365840793494287,467,276,377,549,523,597,"Olfr527","olfactory receptor 527"
"638","ENSMUSG00000059460",0.73307354000989,0.603423633791096,5.7912778160102,0.0161058781860257,0.36976412002084,40,58,36,65,93,68,"Olfr286","olfactory receptor 286"
"644","ENSMUSG00000044061",-1.14319410576929,-0.650001695079263,5.73122186571828,0.0166658829253827,0.37481230579126,35,45,19,21,15,9,"Olfr225","olfactory receptor 225"
"682","ENSMUSG00000060112",0.650571779565331,2.66238823135829,5.61376604624902,0.0178199243679043,0.392751133068611,242,157,182,357,322,251,"Olfr60","olfactory receptor 60"
"732","ENSMUSG00000068431",0.395190424138883,4.23736171386106,5.47892473517646,0.0192470950351718,0.41588821036783,770,542,598,947,628,1027,"Olfr742","olfactory receptor 742"
"787","ENSMUSG00000071494",0.429073142909161,4.74690276067701,5.33585235579169,0.0208911219523674,0.433497636295043,1092,648,967,1453,1101,1127,"Olfr455","olfactory receptor 455"
"796","ENSMUSG00000096566",1.36956419399778,-1.19979093622346,5.31723679698221,0.0211154694470189,0.433497636295043,10,5,10,34,18,16,"Olfr1306","olfactory receptor 1306"
"802","ENSMUSG00000095765",0.484538160824102,3.70873215215896,5.30681380045539,0.0212421709255284,0.433497636295043,496,445,348,724,474,659,"Olfr741","olfactory receptor 741"
"834","ENSMUSG00000075214",-1.21861956166558,-0.873113322947703,5.21935703081957,0.0223368083934209,0.447548415446361,20,40,23,8,24,7,"Olfr1002","olfactory receptor 1002"
"874","ENSMUSG00000109487",-1.39977301087971,-0.953773432137994,5.12682254871638,0.0235588177623027,0.463603878108171,27,18,35,6,17,9,"Olfr1298","olfactory receptor 1298"
"946","ENSMUSG00000075085",0.564956412943919,2.25487070289719,4.99498443420408,0.0254208821905299,0.484385512391051,190,117,143,266,170,246,"Olfr1242","olfactory receptor 1242"
"956","ENSMUSG00000061984",0.624041389507431,0.958354303382218,4.97117677842072,0.0257731065941164,0.484385512391051,73,62,45,100,97,83,"Olfr392","olfactory receptor 392"
"959","ENSMUSG00000067186",0.579790134135548,2.9217646704723,4.96044547945938,0.0259335256180327,0.484385512391051,317,236,178,345,441,315,"Olfr132","olfactory receptor 132"
"1013","ENSMUSG00000073948",-0.854750976526233,-0.0656117522651074,4.86677329028234,0.0273786475234175,0.502854492846768,49,62,31,29,35,16,"Olfr608","olfactory receptor 608"
"1052","ENSMUSG00000073962",-1.2082221351522,-0.888006210359146,4.78780162346171,0.0286619858711595,0.517795220164226,32,35,14,22,14,3,"Olfr576","olfactory receptor 576"
"1119","ENSMUSG00000049149",0.429977435432634,3.81017111559771,4.64359495464703,0.0311696432394738,0.554015271772583,405,594,440,573,782,621,"Olfr1258","olfactory receptor 1258"
"1148","ENSMUSG00000057540",2.50186636677702,-3.17481249434623,4.58107988548338,0.0323268360871362,0.565463069333716,0,1,1,2,5,6,"Olfr310","olfactory receptor 310"
"1200","ENSMUSG00000075200",0.638366955206942,0.81853213758044,4.45982536577901,0.0347010449903124,0.597508618426942,56,52,49,115,67,74,"Olfr1044","olfactory receptor 1044"
"1299","ENSMUSG00000093920",0.582404580541566,2.21891552659052,4.28383082559467,0.038476536759919,0.651642866377595,195,115,133,201,213,254,"Olfr463","olfactory receptor 463"
"1326","ENSMUSG00000049168",0.384048970566503,4.73152548039845,4.25966519301659,0.0390276126868614,0.651642866377595,784,859,1095,1233,1211,1180,"Olfr449","olfactory receptor 449"
"1373","ENSMUSG00000096708",-2.67309686676711,-3.23282070100678,4.21539179264628,0.0400588142017248,0.658492254690195,2,7,3,0,2,0,"Olfr1475","olfactory receptor 1475"
"1392","ENSMUSG00000075186",1.1261499445658,-1.11222131381878,4.19125878681019,0.0406329158973986,0.658492254690195,14,15,4,26,24,18,"Olfr1058","olfactory receptor 1058"
"1427","ENSMUSG00000096254",-1.10091061319345,-1.13024092723421,4.14054127207474,0.0418677799414843,0.660161158880476,19,18,28,9,6,18,"Olfr724","olfactory receptor 724"
"1429","ENSMUSG00000048292",0.540335778182133,2.61932259338254,4.13786560227514,0.0419340119071083,0.660161158880476,257,169,171,294,308,273,"Olfr1417","olfactory receptor 1417"
"1494","ENSMUSG00000035626",0.50562973227377,2.48677528101778,4.06164380750056,0.043867776805924,0.666462922860124,209,155,179,299,220,272,"Olfr1509","olfactory receptor 1509"
"1508","ENSMUSG00000056858",-1.72605487166257,-2.42297309911138,4.05108229162344,0.0441430352901529,0.666462922860124,11,4,10,5,1,2,"Olfr1502","olfactory receptor 1502"
"1509","ENSMUSG00000096068",-2.03896985088956,-2.67127099161269,4.05086823713925,0.0441486328210427,0.666462922860124,12,3,6,3,2,0,"Olfr486","olfactory receptor 486"
"1568","ENSMUSG00000057564",0.510192764247971,1.96591763820119,3.98290262297872,0.045964291408728,0.682039721495885,165,92,114,251,118,181,"Olfr1508","olfactory receptor 1508"
"1601","ENSMUSG00000072708",-1.24160157711033,-1.07824917414481,3.92970843964352,0.0474401685115037,0.682039721495885,39,19,13,11,18,3,"Olfr381","olfactory receptor 381"
"1627","ENSMUSG00000057890",1.35445177739385,-1.40939291579157,3.90832317677401,0.0480475145597377,0.682039721495885,11,8,3,11,19,28,"Olfr1375","olfactory receptor 1375"
"1631","ENSMUSG00000059112",0.515671829349686,2.73997899755353,3.90120643403458,0.0482514465605297,0.682039721495885,269,150,228,370,252,313,"Olfr1263","olfactory receptor 1263"
"1645","ENSMUSG00000058807",3.38252261209269,-3.92730161074326,3.88921010491653,0.0485972748220874,0.682039721495885,0,0,0,2,0,2,"Olfr331","olfactory receptor 331"
"1658","ENSMUSG00000073925",0.74312662208491,0.949015197281735,3.87899026815436,0.048893954626293,0.682039721495885,104,61,21,78,114,83,"Olfr654","olfactory receptor 654"
"1727","ENSMUSG00000064044",0.564808623098764,1.17272514860877,3.81082412360606,0.0509223896368437,0.691788439495035,82,49,81,102,98,117,"Olfr319","olfactory receptor 319"
"1736","ENSMUSG00000045150",-1.37055287919238,-1.76790609092873,3.79556690293766,0.0513884686847937,0.691788439495035,18,10,13,5,2,11,"Olfr1161","olfactory receptor 1161"
"1738","ENSMUSG00000043911",1.13971210669329,-1.43359470249042,3.79271491648614,0.0514760907791224,0.691788439495035,10,8,6,21,19,14,"Olfr922","olfactory receptor 922"
