"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"5","ENSMUSG00000060084",2.60442488699727,3.86763175696361,61.8873316303687,3.63681767974705e-15,4.00777308308125e-12,104,117,202,1492,468,671,"Olfr748","olfactory receptor 748"
"6","ENSMUSG00000110008",1.932497962497,2.00596701071257,48.3577613635481,3.55135826582344e-12,1.95679840446872e-09,50,62,62,178,164,296,"Olfr560","olfactory receptor 560"
"7","ENSMUSG00000109058",1.73337601664368,2.95717160884275,46.191664866745,1.0723220338766e-11,3.93899627110671e-09,168,113,103,481,250,488,"Olfr705","olfactory receptor 705"
"9","ENSMUSG00000058188",2.12604966336684,1.00299340626307,35.2841632550202,2.84939657325711e-09,7.85008755932334e-07,34,14,25,217,43,80,"Olfr746","olfactory receptor 746"
"10","ENSMUSG00000075145",1.99065279129339,0.972526773222949,32.4060716041698,1.25095011705113e-08,2.75709405798069e-06,24,37,23,118,80,114,"Olfr1155","olfactory receptor 1155"
"30","ENSMUSG00000049797",-0.841919181497683,4.29908950139199,23.5118637352605,1.24145883802328e-06,0.000228014606583609,1311,459,982,745,265,426,"Olfr642","olfactory receptor 642"
"36","ENSMUSG00000061561",-1.54749390103203,1.04466652123489,21.0507274750905,4.472830006634e-06,0.000704151238187238,103,83,134,51,22,32,"Olfr373","olfactory receptor 373"
"70","ENSMUSG00000047716",1.33226914249781,1.37522544312849,15.7151132556804,7.36334765063226e-05,0.0101430113887459,79,48,35,110,134,121,"Olfr736","olfactory receptor 736"
"105","ENSMUSG00000075194",-4.47742641363857,-2.28920578495111,12.9928094651172,0.000312689444908223,0.0382870853654291,3,9,18,0,0,1,"Olfr1049","olfactory receptor 1049"
"112","ENSMUSG00000059610",-0.544355254476307,4.38085693641401,12.5267046088489,0.00040117673369749,0.0442096760534634,867,1005,812,585,567,558,"Olfr222","olfactory receptor 222"
"132","ENSMUSG00000070459",-0.890586090680497,3.21926440974517,11.5558015481088,0.000675381859958092,0.0676609826976198,378,393,526,287,205,167,"Olfr290","olfactory receptor 290"
"155","ENSMUSG00000075387",-1.45498043949833,0.247975271344418,10.8350066917945,0.000995989581098565,0.0840856107519198,78,38,62,15,15,31,"Olfr341","olfactory receptor 341"
"164","ENSMUSG00000096000",5.28276109616545,-3.01170206616883,10.633932283954,0.00111031370041309,0.0840856107519198,0,0,0,3,4,7,"Olfr773","olfactory receptor 773"
"168","ENSMUSG00000109528",1.59538988826027,-0.217835917509488,10.5897143270803,0.00113718547378971,0.0840856107519198,22,7,15,66,25,34,"Olfr1309","olfactory receptor 1309"
"169","ENSMUSG00000059279",0.806805530721914,2.81540293630029,10.5777949163278,0.00114454098119673,0.0840856107519198,194,241,129,362,257,284,"Olfr224","olfactory receptor 224"
"194","ENSMUSG00000075064",3.91335064122177,-2.16209877660648,10.105371112728,0.00147837819372666,0.101823298092924,2,0,0,17,0,16,"Olfr1506","olfactory receptor 1506"
"222","ENSMUSG00000075210",-1.13031532800477,0.620848565934642,9.63403605115828,0.00191004422253486,0.123200410625303,85,65,70,35,35,24,"Olfr1012","olfactory receptor 1012"
"228","ENSMUSG00000051706",-0.713845176428993,2.58406718280608,9.53823842629093,0.00201234790495051,0.123200410625303,245,228,319,159,108,190,"Olfr1325","olfactory receptor 1325"
"241","ENSMUSG00000094119",-1.14413948774663,0.815330849557316,9.36372540398954,0.00221321848722605,0.125974872491563,97,92,64,43,20,47,"Olfr612","olfactory receptor 612"
"245","ENSMUSG00000043312",-0.618938598422261,3.98911375909642,9.30419668309012,0.00228629532652564,0.125974872491563,713,671,668,648,282,388,"Olfr131","olfactory receptor 131"
"260","ENSMUSG00000069430",-0.864130765253371,1.3393289934644,9.12480467498889,0.00252166807088633,0.132327534005559,112,97,136,61,52,63,"Olfr9","olfactory receptor 9"
"282","ENSMUSG00000059069",0.565151487160593,4.05279224867336,8.8859934518003,0.00287366636764327,0.143944560779222,389,468,595,749,558,684,"Olfr749","olfactory receptor 749"
"320","ENSMUSG00000111259",-0.720942781277342,2.5139598444988,8.55172143184394,0.00345195639531473,0.165393736853775,279,179,292,214,77,157,"Olfr1328","olfactory receptor 1328"
"341","ENSMUSG00000096151",-0.581158084122994,3.84652639528239,8.361469211554,0.00383260567239788,0.175980477124269,497,576,731,231,384,562,"Olfr477","olfactory receptor 477"
"372","ENSMUSG00000043310",-0.668424482632589,2.73208745197517,8.1210797587857,0.00437534918350815,0.176803677480817,278,246,347,209,123,186,"Olfr571","olfactory receptor 571"
"373","ENSMUSG00000070820",-0.730841235946214,2.02964248438189,8.11916577598626,0.00437997091344894,0.176803677480817,174,150,214,115,66,129,"Olfr1339","olfactory receptor 1339"
"385","ENSMUSG00000042894",0.666161769676833,2.53052215923902,8.05997267938904,0.00452538660932504,0.176803677480817,208,130,141,327,153,246,"Olfr1260","olfactory receptor 1260"
"388","ENSMUSG00000110259",-0.753418883815481,3.03269380459927,8.03023761926979,0.00460028040089471,0.176803677480817,323,286,466,298,98,244,"Olfr65","olfactory receptor 65"
"391","ENSMUSG00000070423",-0.890553795980954,1.3537656922751,8.00970628286568,0.00465272835475835,0.176803677480817,97,109,145,73,54,49,"Olfr558","olfactory receptor 558"
"403","ENSMUSG00000070378",-0.952589191450475,0.85661787505418,7.9113681874249,0.00491251019052692,0.180452874332022,99,76,73,66,34,26,"Olfr403","olfactory receptor 403"
"421","ENSMUSG00000043366",-0.923712104164576,1.26626752206992,7.79057410842276,0.00525195043637658,0.186698367125387,109,83,141,57,59,45,"Olfr78","olfactory receptor 78"
"492","ENSMUSG00000094269",-1.38758814510496,-0.285873887759156,7.41418493021338,0.00647116236054909,0.222850653791409,24,54,40,10,24,9,"Olfr951","olfactory receptor 951"
"513","ENSMUSG00000094063",-1.35157289359239,-0.236109044568824,7.29397137560626,0.00691863695541119,0.231040543177671,18,60,47,11,15,16,"Olfr638","olfactory receptor 638"
"526","ENSMUSG00000058802",-0.751923575263483,1.4594496684018,7.22308311564634,0.00719719855834845,0.233273906214706,122,113,128,77,46,83,"Olfr97","olfactory receptor 97"
"563","ENSMUSG00000073966",-0.71084305274427,2.82492334225825,7.056392109354,0.00789829067707964,0.24868332360405,218,247,483,200,122,199,"Olfr561","olfactory receptor 561"
"593","ENSMUSG00000050788",-0.68120325791684,2.51829256091406,6.931781191491,0.00846773160265543,0.259206672947952,262,267,223,226,106,126,"Olfr419","olfactory receptor 419"
"611","ENSMUSG00000075104",-0.701944296076488,1.74160806465949,6.84521067982187,0.00888792173656091,0.260271672890517,140,163,137,69,91,93,"Olfr1219","olfactory receptor 1219"
"616","ENSMUSG00000075380",-1.62514915337614,-0.446830541234733,6.82781774678599,0.00897488527208679,0.260271672890517,18,7,75,6,0,34,"Olfr355","olfactory receptor 355"
"672","ENSMUSG00000052182",-1.01631134818928,0.336100458304001,6.64031320361532,0.00996964054779878,0.276229865147895,55,60,58,19,28,34,"Olfr849","olfactory receptor 849"
"673","ENSMUSG00000056863",-1.04297081875107,0.234521247590931,6.63018369741638,0.0100264923828637,0.276229865147895,40,47,76,24,20,28,"Olfr702","olfactory receptor 702"
"744","ENSMUSG00000092292",-2.55585826286611,-2.26642063043876,6.34548993596697,0.0117680102847305,0.311281257457891,5,18,5,2,2,0,"Olfr113","olfactory receptor 113"
"754","ENSMUSG00000073915",-0.812392543994132,0.822432247096901,6.31927177112687,0.0119432667851943,0.311281257457891,86,82,69,48,36,42,"Olfr676","olfactory receptor 676"
"766","ENSMUSG00000062987",-0.966509109703369,0.391426186644464,6.28940479390664,0.0121461833672317,0.311281257457891,51,42,86,27,21,36,"Olfr715b","olfactory receptor 715B"
"827","ENSMUSG00000073769",-1.78226009776524,-1.29623932135526,6.11391381542072,0.0134121807621739,0.319459010428314,13,24,21,6,2,8,"Olfr1331","olfactory receptor 1331"
"859","ENSMUSG00000075384",-0.669064365655811,1.70635230910752,6.01147365930929,0.0142131526484158,0.319459010428314,197,117,110,146,55,62,"Olfr3","olfactory receptor 3"
"874","ENSMUSG00000060480",0.790757468089575,2.98751648891817,5.97046770620475,0.0145474218831302,0.319459010428314,259,138,120,912,145,132,"Olfr171","olfactory receptor 171"
"879","ENSMUSG00000075156",4.11601403021854,-3.54709688370769,5.96031852673274,0.0146313975514581,0.319459010428314,0,0,0,3,2,1,"Olfr1128","olfactory receptor 1128"
"884","ENSMUSG00000073947",-0.596313187524586,2.71933130627989,5.95376674209037,0.0146858728010634,0.319459010428314,219,261,362,185,115,227,"Olfr615","olfactory receptor 615"
"902","ENSMUSG00000047702",0.676671692556115,2.10837658135282,5.91332893771682,0.0150267495565066,0.319459010428314,121,113,117,157,226,149,"Olfr1388","olfactory receptor 1388"
"913","ENSMUSG00000075166",-0.508339671536623,3.11679679794128,5.88254203603562,0.0152917287263286,0.319459010428314,425,240,423,301,139,290,"Olfr1104","olfactory receptor 1104"
"923","ENSMUSG00000060888",-1.01618786129779,0.283390503592555,5.85834386181648,0.0155033749488931,0.319459010428314,61,50,53,48,16,19,"Olfr566","olfactory receptor 566"
"926","ENSMUSG00000062878",-1.43135623068915,-0.696195226013482,5.846239436428,0.0156103748128801,0.319459010428314,26,49,14,5,17,8,"Olfr298","olfactory receptor 298"
"935","ENSMUSG00000094535",-4.21652497922623,-3.47262145554429,5.82197278051997,0.0158271834618751,0.319459010428314,4,2,1,0,0,0,"Olfr850","olfactory receptor 850"
"937","ENSMUSG00000043354",-0.748193591515263,1.84112118770645,5.81789284545249,0.0158639389408508,0.319459010428314,83,154,246,85,61,107,"Olfr577","olfactory receptor 577"
"941","ENSMUSG00000063844",1.18028814405018,-0.0726665318256361,5.80904376542038,0.0159439615005057,0.319459010428314,7,25,29,30,28,66,"Olfr1276","olfactory receptor 1276"
"968","ENSMUSG00000109951",-0.63843026645709,2.12321940251257,5.74780393079774,0.0165092822742839,0.324879090468944,244,181,137,203,82,76,"Olfr601","olfactory receptor 601"
"984","ENSMUSG00000051180",-0.43315826379854,4.25837863841999,5.69819049928943,0.0169824123503534,0.32679480512453,944,530,846,898,270,567,"Olfr522","olfactory receptor 522"
"994","ENSMUSG00000073969",-0.721166072205837,1.88028280942931,5.67587833914173,0.0171997265855016,0.32679480512453,194,109,188,81,93,97,"Olfr556","olfactory receptor 556"
