"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"30","ENSMUSG00000047545",-1.44953586069569,1.24049725996487,17.2851974361157,3.21683043573587e-05,0.0353633185461538,53,142,88,16,46,19,"Olfr629","olfactory receptor 629"
"37","ENSMUSG00000073956",-1.33130895193744,1.36914276393264,15.9751253681666,6.41802514449253e-05,0.0353633185461538,68,103,136,16,39,41,"Olfr592","olfactory receptor 592"
"48","ENSMUSG00000046881",-1.63360743437032,0.452202714547094,14.9009080214167,0.000113308432940953,0.0416219643669767,42,64,59,9,16,16,"Olfr374","olfactory receptor 374"
"97","ENSMUSG00000055033",-1.18923343219081,1.24871457734479,12.1656215646016,0.00048678440626726,0.0855374487786704,51,116,110,23,37,30,"Olfr420","olfactory receptor 420"
"98","ENSMUSG00000073924",-1.10704197129225,1.49629073900158,12.1641035064785,0.000487180755972206,0.0855374487786704,86,118,116,25,49,42,"Olfr656","olfactory receptor 656"
"101","ENSMUSG00000049806",-1.5443871365012,0.333280861898296,12.0840775260356,0.000508542564672254,0.0855374487786704,38,55,56,10,16,13,"Olfr466","olfactory receptor 466"
"103","ENSMUSG00000069421",-1.31877143823398,1.22464745397825,11.9607110321943,0.000543341326180302,0.0855374487786704,49,114,107,14,54,21,"Olfr810","olfactory receptor 810"
"134","ENSMUSG00000046643",-1.54582209224192,0.280905815506556,10.9168585993603,0.000952930624661777,0.13126619354716,27,60,55,5,20,14,"Olfr218","olfactory receptor 218"
"176","ENSMUSG00000060084",-1.04231564458466,1.33366262754723,10.1146701734369,0.00147093754984605,0.180108131103372,40,129,116,16,48,41,"Olfr748","olfactory receptor 748"
"235","ENSMUSG00000060254",-1.8213625261655,0.396639119728806,9.26827358083182,0.00233157372143608,0.256939424102256,16,70,62,0,38,10,"Olfr980","olfactory receptor 980"
"306","ENSMUSG00000066747",-1.11221397692258,0.861274757235077,8.60962881502542,0.00334390442988347,0.299736970100317,30,68,109,11,28,33,"Olfr878","olfactory receptor 878"
"365","ENSMUSG00000094192",-0.950751643922609,1.43845488969483,8.21890747988871,0.00414561511225355,0.299736970100317,72,110,117,36,47,34,"Olfr452","olfactory receptor 452"
"374","ENSMUSG00000046486",-1.34157267901793,0.103483165431327,8.18868876962567,0.0042152379470531,0.299736970100317,23,53,45,6,16,15,"Olfr231","olfactory receptor 231"
"401","ENSMUSG00000111306",-1.05149669670968,0.817175137755908,8.00995008656127,0.00465210199094481,0.299736970100317,51,70,73,18,30,24,"Olfr1065","olfactory receptor 1065"
"402","ENSMUSG00000075195",-1.74507563327749,-0.531167272877522,8.00945138824803,0.00465338330445558,0.299736970100317,18,31,29,2,10,7,"Olfr1048","olfactory receptor 1048"
"403","ENSMUSG00000111259",-0.905303657784022,1.63919629689438,8.0089477815599,0.00465467759389086,0.299736970100317,104,114,120,49,54,36,"Olfr1328","olfactory receptor 1328"
