"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000094422",3.16632458121746,3.22580635320767,182.09829742076,1.68768424179169e-41,1.85982803445444e-38,48,75,56,390,627,707,"Olfr205","olfactory receptor 205"
"2","ENSMUSG00000066257",3.35302334146452,2.7247176263001,106.593918704031,5.46406197196146e-25,3.01069814655076e-22,43,42,25,253,485,490,"Olfr206","olfactory receptor 206"
"3","ENSMUSG00000042774",2.57233534849085,2.68568815577446,102.150135243803,5.14693134798267e-24,1.8906394484923e-21,38,64,67,174,556,398,"Olfr1353","olfactory receptor 1353"
"6","ENSMUSG00000095928",2.49533003000717,2.04084623802093,75.0186004166583,4.66300243229557e-18,1.28465717009743e-15,29,27,69,182,246,276,"Olfr204","olfactory receptor 204"
"17","ENSMUSG00000062712",1.238364095458,4.27934748431472,48.9717363073366,2.59677529271159e-12,5.72329274513634e-10,204,420,554,770,1068,922,"Olfr531","olfactory receptor 531"
"18","ENSMUSG00000093942",1.40736556482015,3.08369420398183,47.929695069789,4.41779651984312e-12,8.11401960811186e-10,65,189,209,222,520,507,"Olfr46","olfactory receptor 46"
"30","ENSMUSG00000090894",1.19844422392574,4.45930316317669,38.1221604009236,6.64511197604817e-10,1.04613048537215e-07,342,376,599,1278,1014,855,"Olfr110","olfactory receptor 110"
"42","ENSMUSG00000062037",0.837558653379577,4.42659624287763,31.5969971790012,1.89722730437466e-08,2.61343061177609e-06,343,445,761,729,1059,1027,"Olfr285","olfactory receptor 285"
"51","ENSMUSG00000075068",-0.686019798157414,6.71489071309893,29.9698095103851,4.38825747939516e-08,5.37317749143719e-06,2180,3705,7469,2127,2237,3637,"Olfr140","olfactory receptor 140"
"59","ENSMUSG00000094285",1.20798510432401,5.66265967242314,28.0168576811394,1.20263217969014e-07,1.32530066201853e-05,574,1102,1391,2662,2822,1719,"Olfr743","olfactory receptor 743"
"226","ENSMUSG00000068431",0.590711324887022,4.76090897419351,14.5376817843967,0.000137383943699265,0.0137633732687809,543,750,811,1213,1275,865,"Olfr742","olfactory receptor 742"
"270","ENSMUSG00000095917",0.537570402452678,5.13051944128982,13.3765701951784,0.000254787231156661,0.0233979607278867,622,1076,1123,1387,1646,1201,"Olfr740","olfactory receptor 740"
"620","ENSMUSG00000069998",-1.03412490571125,0.733741530567097,9.22511776472608,0.0023871733906223,0.202358852035829,46,44,124,18,28,65,"Olfr372","olfactory receptor 372"
"645","ENSMUSG00000046493",0.820462859429688,2.34021126306586,8.98529479407775,0.00272160879482384,0.214229492278277,55,164,152,173,229,239,"Olfr1352","olfactory receptor 1352"
"678","ENSMUSG00000110947",1.12375036969428,0.705616763835181,8.80868789286442,0.00299799552242468,0.220252737714133,28,49,20,50,86,83,"Olfr1333","olfactory receptor 1333"
"770","ENSMUSG00000045030",0.661862573895547,3.46942875232692,8.33964877976776,0.00387890956988549,0.267159896625863,132,418,326,354,461,533,"Olfr1443","olfactory receptor 1443"
"884","ENSMUSG00000095706",0.879736908060737,1.31267757796276,7.80559223119916,0.00520847931211199,0.33763201187926,37,62,69,125,103,94,"Olfr209","olfactory receptor 209"
"1065","ENSMUSG00000111174",0.57813742869328,3.18083328112192,7.07937604461267,0.0077976157254949,0.471431125593017,111,323,301,267,438,378,"Olfr1240","olfactory receptor 1240"
"1137","ENSMUSG00000075166",0.543362022658852,3.2132388821736,6.84232556752563,0.00890228720623044,0.471431125593017,121,293,342,253,356,505,"Olfr1104","olfactory receptor 1104"
"1162","ENSMUSG00000071494",0.432198494753188,4.81036522610963,6.77765031857662,0.00923063236321929,0.471431125593017,288,1007,1201,667,1212,1302,"Olfr455","olfactory receptor 455"
"1174","ENSMUSG00000059874",-2.01299710296397,-1.44261329646165,6.75608957029705,0.00934282793191798,0.471431125593017,17,9,21,5,0,10,"Olfr603","olfactory receptor 603"
"1182","ENSMUSG00000094266",-4.41920028518311,-3.32739190633588,6.7430212003177,0.00941151067427076,0.471431125593017,1,6,1,0,0,0,"Olfr340","olfactory receptor 340"
"1288","ENSMUSG00000054141",0.589021811940865,3.76190709195056,6.44439023193777,0.0111303238841675,0.533287692189243,205,306,455,214,462,1122,"Olfr24","olfactory receptor 24"
"1350","ENSMUSG00000075069",0.503577955046239,3.58178021186583,6.29941325900102,0.0120777942272895,0.554572051603043,141,402,471,328,551,519,"Olfr1264","olfactory receptor 1264"
"1461","ENSMUSG00000058200",-1.46723349699785,-0.891859954942142,6.05640732374561,0.0138559285273574,0.5891500612382,20,26,23,13,5,9,"Olfr66","olfactory receptor 66"
"1518","ENSMUSG00000095189",1.69557717075131,-1.39056571858277,5.92552592196493,0.0149230835658985,0.5891500612382,1,6,8,6,16,28,"Olfr1472","olfactory receptor 1472"
"1543","ENSMUSG00000049674",1.13985589782394,-0.158451583304796,5.89253379244795,0.0152052074185257,0.5891500612382,17,10,25,36,43,38,"Olfr714","olfactory receptor 714"
"1558","ENSMUSG00000096409",-1.10326189117525,-0.208760387602212,5.85961790233348,0.0154921568118233,0.5891500612382,23,37,49,15,13,25,"Olfr890","olfactory receptor 890"
"1572","ENSMUSG00000095765",0.428952490781018,4.03507171699854,5.84304992292343,0.0156386957130771,0.5891500612382,274,528,598,606,624,674,"Olfr741","olfactory receptor 741"
"1622","ENSMUSG00000053251",0.446863002493473,3.3059972964071,5.74352811095468,0.016549517261746,0.5891500612382,143,374,304,226,478,455,"Olfr212","olfactory receptor 212"
"1628","ENSMUSG00000073955",3.19521105670693,-2.95168626885413,5.73086510605415,0.0166692689388445,0.5891500612382,1,0,0,3,7,3,"Olfr593","olfactory receptor 593"
"1659","ENSMUSG00000110970",0.695466603491819,1.43886886872352,5.66230126391417,0.0173333657090615,0.5891500612382,33,59,118,82,111,136,"Olfr156","olfactory receptor 156"
"1677","ENSMUSG00000081649",0.555618713339343,2.18408368025572,5.62391436907522,0.0177170360595814,0.5891500612382,53,147,162,97,226,222,"Olfr213","olfactory receptor 213"
"1701","ENSMUSG00000073768",0.507595956320796,2.62313353242783,5.57900532350541,0.0181770436316686,0.5891500612382,119,198,172,173,310,256,"Olfr1330","olfactory receptor 1330"
"1775","ENSMUSG00000059488",0.247868661185602,5.17724650464904,5.46419297572559,0.0194100158888179,0.592566201963866,619,1279,1362,847,1457,1737,"Olfr727","olfactory receptor 727"
"1827","ENSMUSG00000068535",0.370401380038634,4.01068152552385,5.38125721200903,0.0203542052329123,0.592566201963866,184,654,583,340,725,754,"Olfr169","olfactory receptor 169"
