"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"3","ENSMUSG00000094426",3.16150425996934,2.36939428020909,117.869670112483,1.85163721705144e-27,2.04050421319069e-24,27,32,34,304,213,343,"Olfr478","olfactory receptor 478"
"4","ENSMUSG00000061952",2.8854371996269,3.28361189010275,105.728243280091,8.45733363765127e-25,4.65999083434585e-22,58,74,73,597,304,727,"Olfr1377","olfactory receptor 1377"
"6","ENSMUSG00000049098",2.73772952596348,2.86645587516903,95.2374632467158,1.68864196962207e-22,6.2029448350784e-20,49,48,72,509,213,484,"Olfr147","olfactory receptor 147"
"10","ENSMUSG00000058014",2.29516879399233,2.01546683723654,61.0031853538528,5.69825367910273e-15,1.5698688885928e-12,35,35,52,257,126,245,"Olfr502","olfactory receptor 502"
"13","ENSMUSG00000095212",2.30246699356149,1.71867890476741,48.5403545309904,3.23561805434119e-12,7.13130219176798e-10,49,17,35,191,91,226,"Olfr473","olfactory receptor 473"
"16","ENSMUSG00000094119",1.79405479830122,2.34310127170117,43.3476107618919,4.58295492218234e-11,8.41736054040823e-09,53,75,77,254,182,291,"Olfr612","olfactory receptor 612"
"17","ENSMUSG00000045584",1.82839964414494,3.35867583067149,42.7942887949958,6.08094348502393e-11,9.57314245785196e-09,145,120,125,519,256,764,"Olfr610","olfactory receptor 610"
"20","ENSMUSG00000073893",1.27816222660055,3.85760986500591,36.9118230283726,1.23594196781828e-09,1.70251006066968e-07,220,266,277,589,497,824,"Olfr472","olfactory receptor 472"
"22","ENSMUSG00000046150",2.04286895703909,1.6379947235818,33.9179431684775,5.74860844279822e-09,7.03885167107071e-07,21,44,41,124,90,251,"Olfr918","olfactory receptor 918"
"24","ENSMUSG00000060583",2.14549081035351,1.8946968552106,30.4693593763383,3.39181556612927e-08,3.73778075387446e-06,35,37,37,214,60,317,"Olfr881","olfactory receptor 881"
"36","ENSMUSG00000066242",1.7006428541332,0.974964723036736,21.9934056094227,2.73588854447101e-06,0.000274086288727914,28,28,24,127,59,90,"Olfr467","olfactory receptor 467"
"40","ENSMUSG00000078420",1.77325941423194,1.6090585273667,20.9182767215638,4.79299651242939e-06,0.000440156846391432,34,35,40,137,50,272,"Olfr141","olfactory receptor 141"
"44","ENSMUSG00000044923",1.2796029937621,1.96682843675187,20.0371356349239,7.59527533105761e-06,0.000643845647294268,57,68,79,218,123,172,"Olfr1030","olfactory receptor 1030"
"46","ENSMUSG00000096584",1.42802754147785,2.11385720274643,19.7327379578541,8.90625075443141e-06,0.000701049166527387,90,49,64,189,97,314,"Olfr611","olfactory receptor 611"
"47","ENSMUSG00000063120",2.62472314611877,-0.17188140212519,19.474541705986,1.01949453285349e-05,0.000748988650136364,5,15,3,39,43,46,"Olfr480","olfactory receptor 480"
"49","ENSMUSG00000044560",1.90436592549126,0.393282872727366,19.1079733716903,1.23527742022593e-05,0.000850797323180609,19,17,12,69,51,63,"Olfr1302","olfactory receptor 1302"
"53","ENSMUSG00000044205",1.11370063855391,2.57356499370244,18.4955408673723,1.70302279294988e-05,0.00105072660630377,95,97,147,289,154,322,"Olfr983","olfactory receptor 983"
"54","ENSMUSG00000063764",1.49238574675553,1.06541881230123,18.4807950027304,1.71625035512413e-05,0.00105072660630377,31,40,26,87,94,93,"Olfr508","olfactory receptor 508"
"69","ENSMUSG00000061361",0.710040227071506,5.32824782901052,15.5849852946112,7.88784723034251e-05,0.00457495139359866,564,1442,831,1123,1459,1892,"Olfr168","olfactory receptor 168"
"75","ENSMUSG00000094612",1.08594349539309,2.76698874222542,14.7840588240768,0.000120550276172976,0.00664232021713098,144,108,130,270,169,441,"Olfr491","olfactory receptor 491"
"111","ENSMUSG00000075068",-0.501887218383462,6.21097483756835,12.2671871553451,0.000460992603007876,0.0241911356435562,2067,2275,3685,2005,1477,2157,"Olfr140","olfactory receptor 140"
"123","ENSMUSG00000045341",0.686155808673445,4.22311775597818,11.7770569051542,0.000599652157974365,0.0295728294119379,266,615,412,437,707,947,"Olfr167","olfactory receptor 167"
"127","ENSMUSG00000052508",-0.568635086907887,6.26745857824561,11.7075479907938,0.000622470885174304,0.0295728294119379,2181,2410,3833,1591,1980,2054,"Olfr536","olfactory receptor 536"
"128","ENSMUSG00000096365",-0.697649193002957,4.53102946997819,11.6441303727399,0.000644054361058538,0.0295728294119379,707,826,1009,367,435,894,"Olfr1463","olfactory receptor 1463"
"155","ENSMUSG00000094295",-1.99655951784588,-0.69050456645269,10.472201956561,0.00121184190538006,0.053417991189153,29,33,18,7,11,3,"Olfr819","olfactory receptor 819"
"163","ENSMUSG00000057564",-0.848654350065345,2.18027052756989,10.2351459296713,0.00137789711352488,0.0584016391963238,126,237,164,88,96,104,"Olfr1508","olfactory receptor 1508"
"189","ENSMUSG00000108827",-1.88573784500297,-0.715472647888502,9.50049576662335,0.00205416388119289,0.0838403184101691,11,26,43,5,6,9,"Olfr1310","olfactory receptor 1310"
"221","ENSMUSG00000060084",0.788837512854956,2.66891920267112,8.75479031166024,0.00308789875448314,0.121530872408586,99,135,186,260,145,354,"Olfr748","olfactory receptor 748"
"244","ENSMUSG00000050504",-1.06044392377822,0.841467798322179,8.1885789791352,0.00421549305842092,0.160188736219995,53,73,88,35,36,31,"Olfr1323","olfactory receptor 1323"
"275","ENSMUSG00000068535",0.49261000579397,5.07672108932966,7.83571651916521,0.00512238446755607,0.188162256108226,339,969,1318,642,1392,1423,"Olfr169","olfactory receptor 169"
"288","ENSMUSG00000108167",0.553344210559543,4.38665509443978,7.69299460089914,0.00554355706953532,0.197064512600901,504,519,503,899,496,970,"Olfr1386","olfactory receptor 1386"
"308","ENSMUSG00000110008",1.01501998422675,1.01239971571123,7.39651754708614,0.00653502689383773,0.225049988656537,22,43,57,86,72,80,"Olfr560","olfactory receptor 560"
"385","ENSMUSG00000075151",-3.48007193990826,-2.76679339631584,6.79981345219974,0.00911673975854381,0.30444385496713,5,6,3,0,1,0,"Olfr1136","olfactory receptor 1136"
"510","ENSMUSG00000107645",-0.530324848623169,3.79462492290294,6.18367079984738,0.0128934518112016,0.417493507606572,261,461,787,206,332,482,"Olfr1380","olfactory receptor 1380"
"519","ENSMUSG00000058188",1.06845537604965,0.402132303504111,6.13411691703771,0.0132597756499365,0.417493507606572,25,21,25,56,27,81,"Olfr746","olfactory receptor 746"
"556","ENSMUSG00000095765",-0.52155419363381,4.18227366462145,5.94744472494417,0.0147386355952794,0.451166011833275,415,719,786,331,594,420,"Olfr741","olfactory receptor 741"
"622","ENSMUSG00000074952",-1.12345384472872,0.0964870142163476,5.62302686159942,0.0177260094951164,0.527947634151845,46,36,43,25,20,14,"Olfr1308","olfactory receptor 1308"
"655","ENSMUSG00000058904",-0.848171135738049,0.76090457355287,5.48703512978138,0.0191580047818344,0.555582138673198,58,67,66,35,31,42,"Olfr1413","olfactory receptor 1413"
"683","ENSMUSG00000095156",-0.888186320897118,2.20615798090144,5.40687897202671,0.020057545783609,0.566754242398388,133,136,257,62,150,83,"Olfr1281","olfactory receptor 1281"
"764","ENSMUSG00000060523",-0.623377346297466,4.11079455580064,5.17235641582599,0.0229490657639127,0.625598678680826,442,546,905,322,542,358,"Olfr726","olfactory receptor 726"
"774","ENSMUSG00000075145",1.0806538122787,0.426455489143795,5.1478294603312,0.0232754499327712,0.625598678680826,16,49,16,57,42,56,"Olfr1155","olfactory receptor 1155"
"823","ENSMUSG00000059488",-0.522893169325392,5.01326721290897,5.01428557297587,0.0251390006267431,0.643581811511962,755,1024,1688,613,1023,733,"Olfr727","olfactory receptor 727"
"825","ENSMUSG00000068431",-0.586507685951782,4.57621748456116,5.01174204951677,0.0251759608247537,0.643581811511962,547,796,1249,446,780,480,"Olfr742","olfactory receptor 742"
"838","ENSMUSG00000045824",-2.77923718216265,-2.30900975473185,4.97632244984304,0.0256965514578279,0.643581811511962,4,7,10,0,4,0,"Olfr574","olfactory receptor 574"
"918","ENSMUSG00000045812",-0.907019333726122,0.697395426170598,4.78946112082871,0.0286343837244946,0.701224241430957,70,46,67,51,32,20,"Olfr984","olfactory receptor 984"
"955","ENSMUSG00000053146",-1.55024659087508,-1.14551292988203,4.71536821502086,0.0298941627743236,0.716160160376187,29,8,17,5,5,7,"Olfr352","olfactory receptor 352"
"1005","ENSMUSG00000049843",0.659551938771323,1.43546906914022,4.60262812566405,0.0319229836353223,0.728332285794659,57,58,70,117,64,126,"Olfr1102","olfactory receptor 1102"
"1014","ENSMUSG00000059887",-0.588649057639562,4.42701464384689,4.57672581820903,0.0324090846845668,0.728332285794659,535,784,930,394,830,365,"Olfr1507","olfactory receptor 1507"
"1068","ENSMUSG00000047594",0.827453949714967,0.540934823654512,4.4907699368227,0.0340783262306124,0.728332285794659,32,31,28,56,54,54,"Olfr1122","olfactory receptor 1122"
"1086","ENSMUSG00000050028",0.47302655984158,3.31310541292378,4.47020603966345,0.0344908322388504,0.728332285794659,200,234,325,338,286,441,"Olfr745","olfactory receptor 745"
"1096","ENSMUSG00000061520",-3.65158899254851,-3.43773078765903,4.46043068671283,0.034688750299711,0.728332285794659,0,3,2,0,0,0,"Olfr153","olfactory receptor 153"
"1098","ENSMUSG00000046913",1.30128974621321,-0.866583094932857,4.45216591342273,0.0348570105370973,0.728332285794659,4,14,8,19,29,14,"Olfr1451","olfactory receptor 1451"
"1124","ENSMUSG00000075069",-0.451364812789549,3.82954600886899,4.41661081946559,0.0355906606776605,0.728332285794659,395,549,525,291,441,361,"Olfr1264","olfactory receptor 1264"
"1127","ENSMUSG00000075175",-1.40029999638694,-1.14819419364233,4.41187446416021,0.0356896038411176,0.728332285794659,12,11,29,4,6,9,"Olfr1086","olfactory receptor 1086"
"1145","ENSMUSG00000044106",0.794123232551716,0.627597368172511,4.3616725254847,0.0367562013496723,0.736460616133434,21,39,39,42,63,66,"Olfr868","olfactory receptor 868"
"1253","ENSMUSG00000061875",-0.677675740131073,1.23476744175915,4.19423341776251,0.040561687906528,0.798196072732033,78,67,111,70,30,69,"Olfr1148","olfactory receptor 1148"
"1366","ENSMUSG00000054890",-0.570934410477778,1.91888053602699,4.05063353104392,0.0441547712507731,0.851260097717674,169,116,121,99,82,94,"Olfr1535","olfactory receptor 1535"
"1431","ENSMUSG00000059106",-0.599251956427877,1.55431116607963,3.9791670328234,0.0460663385110694,0.851260097717674,91,128,95,57,75,77,"Olfr961","olfactory receptor 961"
"1436","ENSMUSG00000046396",-0.594275863451034,1.57411751076829,3.97273743124642,0.046242538877756,0.851260097717674,97,114,107,78,75,61,"Olfr609","olfactory receptor 609"
"1437","ENSMUSG00000095095",2.19812635113371,-2.40515285435221,3.96889784323212,0.0463480996942472,0.851260097717674,1,0,3,11,3,5,"Olfr385","olfactory receptor 385"
"1478","ENSMUSG00000049315",-0.803574552212808,0.468046631804648,3.92535307840916,0.0475632016570931,0.852487883622002,39,50,64,23,32,33,"Olfr348","olfactory receptor 348"
"1507","ENSMUSG00000042849",-0.521929241449626,2.30675529468918,3.89133628695364,0.048535791347293,0.852487883622002,145,185,192,113,137,117,"Olfr1414","olfactory receptor 1414"
