"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"2","ENSMUSG00000050813",2.06135083470098,4.55634474685143,149.428989812256,2.31084335294643e-34,2.54654937494697e-31,254,337,234,957,1859,955,"Olfr332","olfactory receptor 332"
"6","ENSMUSG00000094669",2.22774159943038,2.729427831511,63.5684829842656,1.54887517379248e-15,8.53430220759657e-13,59,78,67,248,621,238,"Olfr441","olfactory receptor 441"
"7","ENSMUSG00000075170",2.15928896878942,2.79366055738439,58.2055862049281,2.36107668551212e-14,8.67302169144785e-12,71,61,99,281,501,321,"Olfr1097","olfactory receptor 1097"
"8","ENSMUSG00000075382",2.33572041716283,1.74745101717049,54.180892572507,1.82856332580233e-13,5.03769196258542e-11,28,31,40,155,229,150,"Olfr353","olfactory receptor 353"
"9","ENSMUSG00000061210",2.05667976436909,2.26046634831279,50.7857614265875,1.03018345011874e-12,2.2705243240617e-10,56,47,64,192,327,227,"Olfr47","olfactory receptor 47"
"10","ENSMUSG00000043274",2.03040814377197,2.51612135063812,50.0143444789113,1.5262612859479e-12,2.80323322852431e-10,70,50,85,236,382,267,"Olfr1123","olfactory receptor 1123"
"11","ENSMUSG00000073945",2.71248925833982,0.782264966050425,46.33544260659,9.9645085006432e-12,1.56869833824411e-09,10,12,18,75,115,88,"Olfr618","olfactory receptor 618"
"13","ENSMUSG00000043605",1.891174779712,2.15123890357567,43.9616944992879,3.34865596484146e-11,4.61277359156911e-09,55,65,49,193,287,190,"Olfr13","olfactory receptor 13"
"14","ENSMUSG00000045708",2.28641131211259,1.31151986836245,41.3717677642831,1.25862076634809e-10,1.54111120501733e-08,22,25,25,121,201,76,"Olfr447","olfactory receptor 447"
"16","ENSMUSG00000108948",1.30995535591519,3.71340990051958,39.0295534558572,4.17438220588065e-10,4.60016919088048e-08,213,244,223,407,842,599,"Olfr695","olfactory receptor 695"
"17","ENSMUSG00000096365",-0.951401502815085,4.40635002183763,31.0054064608799,2.57310682365179e-08,2.57778519969479e-06,707,826,1009,334,530,536,"Olfr1463","olfactory receptor 1463"
"18","ENSMUSG00000075383",1.87283163104981,1.13045486386419,30.6536792831982,3.084411597799e-08,2.83251798397875e-06,22,36,24,68,171,95,"Olfr351","olfactory receptor 351"
"26","ENSMUSG00000108931",1.96538275547831,0.385779882791335,19.2879955423626,1.12410886771259e-05,0.000952898440168673,5,12,32,22,81,89,"Olfr1284","olfactory receptor 1284"
"28","ENSMUSG00000091601",1.10294390395759,2.91822206882989,18.4119629437577,1.77937354098082e-05,0.00140062117297205,129,150,150,205,429,379,"Olfr93","olfactory receptor 93"
"35","ENSMUSG00000059411",1.73887477386792,0.378257478205453,16.5736137958893,4.67976126141783e-05,0.00343806460672163,14,19,18,59,82,44,"Olfr434","olfactory receptor 434"
"41","ENSMUSG00000047050",1.40311021544478,0.907500058253406,14.8069256226852,0.000119097317952165,0.00820282777395536,24,42,24,83,118,55,"Olfr914","olfactory receptor 914"
"51","ENSMUSG00000060480",-0.955441623518696,2.94212626430214,12.2915163349973,0.000455021897842522,0.0294961253777917,154,375,402,93,278,146,"Olfr171","olfactory receptor 171"
"55","ENSMUSG00000094846",1.16582919279515,1.32777407303439,11.6970222035427,0.000626001993107096,0.0383252331335567,41,38,57,81,175,83,"Olfr1487","olfactory receptor 1487"
"60","ENSMUSG00000075214",1.90621842863063,-0.357014810334025,11.0605051477354,0.000881861140802195,0.0511479461665273,13,3,13,45,33,27,"Olfr1002","olfactory receptor 1002"
"93","ENSMUSG00000043855",0.876952763786422,2.05403673833404,9.35072512119849,0.00222897262461037,0.122816391616031,108,74,82,132,219,164,"Olfr479","olfactory receptor 479"
"102","ENSMUSG00000073110",2.64728259228119,-0.972707890671129,9.02748431664009,0.00265950233018535,0.139560550850679,4,9,0,31,18,21,"Olfr444","olfactory receptor 444"
"126","ENSMUSG00000068806",0.80820210813408,2.04653961840059,8.35772619897479,0.00384050836642656,0.188510698679729,94,86,88,116,217,176,"Olfr1259","olfactory receptor 1259"
"128","ENSMUSG00000056822",-0.37564013301058,5.69426908906677,8.31383005764788,0.00393443381999435,0.188510698679729,1389,1822,2140,1018,1901,1494,"Olfr166","olfactory receptor 166"
"136","ENSMUSG00000044120",0.975040088808797,1.72883428349568,8.11414779881795,0.00439211152813015,0.201671120999976,43,77,62,78,328,68,"Olfr683","olfactory receptor 683"
"206","ENSMUSG00000052508",-0.303578617791734,6.38154303481201,7.15067899365538,0.00749356118099468,0.330316176858245,2181,2410,3833,1416,2976,2954,"Olfr536","olfactory receptor 536"
