"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000059279",3.45273781297578,5.08497904237443,284.726024031221,7.01041606557481e-64,7.72547850426344e-61,92,124,162,1473,2131,1341,"Olfr224","olfactory receptor 224"
"2","ENSMUSG00000050818",3.20575483241729,4.35749812943674,214.975530776638,1.12824893831204e-48,6.21665165009934e-46,82,61,133,878,1082,967,"Olfr330","olfactory receptor 330"
"3","ENSMUSG00000056959",2.90412251765507,3.80046006852226,172.809597973731,1.80115439807367e-39,6.61624048892395e-37,73,54,92,648,652,618,"Olfr315","olfactory receptor 315"
"5","ENSMUSG00000060765",2.9353365172877,3.40534401689368,126.256305054699,2.7022842771987e-29,7.44479318368242e-27,44,51,65,473,589,405,"Olfr325","olfactory receptor 325"
"8","ENSMUSG00000062757",2.44060958163925,2.73912749062669,71.0921683705746,3.40920659419431e-17,7.51389133360426e-15,45,39,45,378,252,222,"Olfr1206","olfactory receptor 1206"
"9","ENSMUSG00000050158",2.81445022680219,2.00956164418138,64.9446041201075,7.70334818573118e-16,1.41484828344596e-13,17,11,44,149,190,206,"Olfr165","olfactory receptor 165"
"11","ENSMUSG00000040328",1.72406851725776,3.40497049020802,49.7454803464653,1.75040946335245e-12,2.75564461230629e-10,131,76,114,442,281,546,"Olfr56","olfactory receptor 56"
"12","ENSMUSG00000057654",2.38355772459915,4.27356139635641,49.3618421839389,2.1284570387062e-12,2.93194957081779e-10,120,117,132,741,381,1525,"Olfr328","olfactory receptor 328"
"13","ENSMUSG00000064252",2.31478082421709,3.94400546450105,44.5937191588549,2.42468248240961e-11,2.96888899512821e-09,67,119,146,640,356,1044,"Olfr329","olfactory receptor 329"
"14","ENSMUSG00000048378",2.36926718147338,1.7030745051216,41.3933143388346,1.24482399974696e-10,1.37179604772115e-08,35,6,33,102,90,229,"Olfr1394","olfactory receptor 1394"
"22","ENSMUSG00000059504",2.29193165727594,2.49518957071201,30.5886037116989,3.18961782529036e-08,3.19541713042725e-06,29,44,43,224,116,402,"Olfr314","olfactory receptor 314"
"23","ENSMUSG00000075113",1.85187494705336,1.47790509327922,30.3013502270397,3.69868341592279e-08,3.3966242702891e-06,28,13,41,103,113,115,"Olfr1209","olfactory receptor 1209"
"24","ENSMUSG00000089892",1.99108692794556,1.08117541921538,30.0106019723537,4.29690551656712e-08,3.64245375327459e-06,16,16,21,73,116,69,"Olfr1199","olfactory receptor 1199"
"33","ENSMUSG00000052508",0.741239888891715,6.24992537028912,24.4991279628672,7.43434770141574e-07,5.85189369068582e-05,987,1305,1569,2244,2805,2541,"Olfr536","olfactory receptor 536"
"45","ENSMUSG00000049372",1.70253585639033,1.89763942177264,19.544938360017,9.82607390141158e-06,0.000721888895957037,21,43,49,177,121,133,"Olfr1183","olfactory receptor 1183"
"57","ENSMUSG00000057149",1.08691995171101,3.06504729771885,17.3317146688727,3.13904069689282e-05,0.00216201427998493,100,97,157,302,211,383,"Olfr1301","olfactory receptor 1301"
"76","ENSMUSG00000073954",-1.14647383178303,1.44723772891167,14.2374637207193,0.000161130554200724,0.0103454059123147,85,60,106,33,40,62,"Olfr594","olfactory receptor 594"
"82","ENSMUSG00000049334",-5.71911818746346,-2.24642238016743,14.1479490397816,0.000168981221798243,0.0103454059123147,10,3,6,0,0,0,"Olfr902","olfactory receptor 902"
"92","ENSMUSG00000075068",-0.670618597777296,5.73162981756138,13.6416396919888,0.000221224155793608,0.0128310010360293,1432,960,1971,1405,699,1152,"Olfr140","olfactory receptor 140"
"100","ENSMUSG00000063823",1.34413037470242,1.01025372078452,13.2252421007697,0.000276204045342701,0.0151897614106508,14,22,40,56,87,77,"Olfr532","olfactory receptor 532"
"102","ENSMUSG00000111259",-0.981954043328805,2.25404869689681,13.1373947721084,0.000289460063179371,0.0151897614106508,164,135,117,68,104,80,"Olfr1328","olfactory receptor 1328"
"103","ENSMUSG00000096584",-1.37625031551639,0.736111959889885,13.0484513269229,0.000303535292205378,0.0152043587277421,50,47,60,18,22,33,"Olfr611","olfactory receptor 611"
"105","ENSMUSG00000046396",-1.12651248883703,1.45158540555046,12.9438296385779,0.000320977704914914,0.0153790187311407,59,70,126,40,39,55,"Olfr609","olfactory receptor 609"
"115","ENSMUSG00000059821",-1.52377664626034,0.447595602181255,12.336018492722,0.000444301630069379,0.0204008498473523,45,28,61,16,19,18,"Olfr847","olfactory receptor 847"
"125","ENSMUSG00000057447",1.19818945645288,1.22064484844424,11.8787735748511,0.000567773160281268,0.0250274409051983,20,33,39,78,87,82,"Olfr1205","olfactory receptor 1205"
"157","ENSMUSG00000075064",-4.51941239557966,-1.64684469335917,10.4733396333723,0.00121109586059924,0.0513318322453986,31,2,0,1,0,0,"Olfr1506","olfactory receptor 1506"
"160","ENSMUSG00000059105",3.73264031832547,-1.75256892881578,10.3133628277048,0.00132070405046705,0.0539042912449885,0,0,2,3,10,18,"Olfr1504","olfactory receptor 1504"
"186","ENSMUSG00000043911",-2.41136702904451,-0.923633076913805,9.62613478003138,0.00191827888557933,0.0754979761395865,19,16,17,2,2,9,"Olfr922","olfactory receptor 922"
"193","ENSMUSG00000090675",-1.05984169677991,1.01125522003378,9.46126617545314,0.00209856163711671,0.079745342210435,64,41,76,25,34,43,"Olfr111","olfactory receptor 111"
"196","ENSMUSG00000063582",-0.834901739501201,1.90684618929305,9.3449462883003,0.00223601206480123,0.0821361765136985,97,99,123,56,88,71,"Olfr666","olfactory receptor 666"
"208","ENSMUSG00000075208",-0.946256284292374,1.30259503509861,9.17722156478189,0.00245045740197396,0.0871098082895259,59,59,100,36,48,48,"Olfr1019","olfactory receptor 1019"
"218","ENSMUSG00000056883",0.712560061723646,3.94319556244749,9.04807754032608,0.00262971190386817,0.0905607036894601,198,220,370,548,421,525,"Olfr533","olfactory receptor 533"
"248","ENSMUSG00000048996",-1.18793164374452,0.60174026611559,8.46038945420696,0.00362964129642761,0.121208021474643,52,37,46,25,32,15,"Olfr1366","olfactory receptor 1366"
"269","ENSMUSG00000059473",-1.3540815369253,0.384197745800573,8.20783089160955,0.00417099827088906,0.133915463776465,45,36,35,31,18,9,"Olfr979","olfactory receptor 979"
"271","ENSMUSG00000049648",-0.971956856876843,1.11403917966102,8.17241949642087,0.0042532134593251,0.133915463776465,64,27,107,37,25,47,"Olfr273","olfactory receptor 273"
"284","ENSMUSG00000050028",-0.637214865981127,3.09331693257989,8.03902569630407,0.00457801537055631,0.140138137176474,196,189,325,131,184,224,"Olfr745","olfactory receptor 745"
"303","ENSMUSG00000044798",-0.812090330820907,1.76112503640834,7.89565131630621,0.00495537908446989,0.147589939218536,83,96,106,42,73,84,"Olfr923","olfactory receptor 923"
"318","ENSMUSG00000052417",0.785056952174564,2.26030066319734,7.69604285243163,0.0055342024381438,0.16049187070617,55,74,98,84,266,152,"Olfr720","olfactory receptor 720"
"357","ENSMUSG00000066748",-0.752317265544679,1.9851222198223,7.26570296373011,0.007028375425306,0.198596659453518,69,109,161,53,93,89,"Olfr145","olfactory receptor 145"
"360","ENSMUSG00000069998",-1.57821872432361,-0.460605902052153,7.19499795250917,0.00731070742447464,0.201409989544276,12,23,34,7,10,9,"Olfr372","olfactory receptor 372"
"367","ENSMUSG00000063188",-0.925863905315535,1.3990450872333,7.11982171163966,0.00762362873370303,0.204908264988799,65,56,110,32,74,41,"Olfr107","olfactory receptor 107"
"380","ENSMUSG00000099820",-1.51850815157836,0.460962380976738,7.01575994561975,0.00807953328466597,0.211991563802426,26,37,70,30,14,11,"Olfr1036","olfactory receptor 1036"
"402","ENSMUSG00000102091",-1.48845154159185,-0.415866670690462,6.81400669507087,0.00904455987287431,0.231793139067616,26,13,31,8,10,10,"Olfr1034","olfactory receptor 1034"
"405","ENSMUSG00000043925",-0.659920096782964,2.54751047749274,6.76607914006027,0.00929067262879871,0.232689119021277,159,98,237,94,110,154,"Olfr544","olfactory receptor 544"
