"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"2","ENSMUSG00000059279",2.72314878853676,4.4646878999205,101.16591623443,8.45924723213915e-24,9.32209044981734e-21,92,124,162,731,1126,1192,"Olfr224","olfactory receptor 224"
"4","ENSMUSG00000047511",2.29286956448944,4.07271792549201,65.2593991209899,6.56602738787558e-16,3.61788109071944e-13,120,97,156,675,651,904,"Olfr1396","olfactory receptor 1396"
"6","ENSMUSG00000057654",2.87626974895924,4.6720946634752,63.6552411276134,1.48214134077747e-15,5.44439919178924e-13,120,117,132,606,1678,1302,"Olfr328","olfactory receptor 328"
"8","ENSMUSG00000109219",2.62871298452886,2.91139242205438,52.5737713298531,4.14386573906115e-13,1.14163501111135e-10,49,26,66,290,457,300,"Olfr1299","olfactory receptor 1299"
"9","ENSMUSG00000059504",2.39623999659372,2.49798967818152,52.0038886056161,5.53908314810918e-13,1.22081392584326e-10,29,44,43,182,309,261,"Olfr314","olfactory receptor 314"
"10","ENSMUSG00000056959",2.2052455817721,3.27332069051539,40.5097063525288,1.95641736911691e-10,3.59328656794472e-08,73,54,92,285,425,540,"Olfr315","olfactory receptor 315"
"11","ENSMUSG00000049372",2.06847397252851,2.18085149015626,39.8988740970761,2.67457327295646e-10,4.21054249542574e-08,21,43,49,112,279,188,"Olfr1183","olfactory receptor 1183"
"17","ENSMUSG00000093825",1.52604558823861,2.73153525730862,25.6175584608543,4.16234632693749e-07,5.73363206535639e-05,68,52,115,259,285,250,"Olfr723","olfactory receptor 723"
"30","ENSMUSG00000096254",2.25297213309499,0.934256462954325,18.6761182414061,1.5491061881391e-05,0.00189679446592143,13,4,27,41,110,88,"Olfr724","olfactory receptor 724"
"40","ENSMUSG00000068806",1.25115050213887,2.48682253137296,15.9658280134784,6.44962361198147e-05,0.00710748522040358,74,58,86,219,277,155,"Olfr1259","olfactory receptor 1259"
"44","ENSMUSG00000050818",1.50723768581126,3.07673090307477,14.9329678975259,0.000111399171162811,0.011160171511038,82,61,133,156,458,386,"Olfr330","olfactory receptor 330"
"49","ENSMUSG00000064252",1.23424890810168,3.19386480941337,14.1162077486834,0.000171856600648696,0.0157821644929052,67,119,146,133,566,354,"Olfr329","olfactory receptor 329"
"61","ENSMUSG00000050158",1.46993215815437,0.983496576328733,12.877495535021,0.000332556976839345,0.0281905991136122,17,11,44,49,75,94,"Olfr165","olfactory receptor 165"
"66","ENSMUSG00000056822",-0.822064827543952,4.73775077572408,12.3528382317632,0.000440316552495966,0.0346592029178967,506,703,1102,390,506,669,"Olfr166","olfactory receptor 166"
"71","ENSMUSG00000075117",1.23606490514755,1.68705106053371,11.5159537410962,0.000690014199109595,0.0506930431612516,43,30,50,120,175,77,"Olfr1198","olfactory receptor 1198"
"80","ENSMUSG00000075113",1.27459092567922,1.05307724400699,10.6900567244513,0.00107712903274771,0.0741872621304985,28,13,41,75,70,81,"Olfr1209","olfactory receptor 1209"
"88","ENSMUSG00000057149",1.21532339130369,3.28079161378803,10.2630452383164,0.0013572146524233,0.0879794439394398,100,97,157,173,663,305,"Olfr1301","olfactory receptor 1301"
"111","ENSMUSG00000078080",5.05046865512253,-2.61210033474813,9.07339403692552,0.00259355245465989,0.158783044724178,0,0,0,5,4,4,"Olfr585","olfactory receptor 585"
"145","ENSMUSG00000068437",1.21138465889919,1.21569464337353,7.88776347319208,0.00497703720278886,0.288668157761754,15,30,31,30,196,48,"Olfr725","olfactory receptor 725"
"160","ENSMUSG00000047225",-1.39762457052123,-0.114635755199501,7.64971085264907,0.00567814217226919,0.290034513833406,19,24,44,13,11,14,"Olfr684","olfactory receptor 684"
"163","ENSMUSG00000062757",1.32500541844599,2.00698631830903,7.61875959760466,0.00577642058585597,0.290034513833406,45,39,45,56,292,129,"Olfr1206","olfactory receptor 1206"
"164","ENSMUSG00000094858",0.905412382994555,1.55173395841572,7.61447458522428,0.00579016270810793,0.290034513833406,39,37,59,110,110,87,"Olfr1297","olfactory receptor 1297"
"214","ENSMUSG00000067513",-4.74234700105016,-2.8992921552338,6.99742965377299,0.0081626838606367,0.391099026713984,7,1,0,0,0,0,"Olfr1436","olfactory receptor 1436"
"237","ENSMUSG00000075068",-0.522935234559041,5.75319981108028,6.79052920134193,0.00916427377929023,0.420792904365743,1432,960,1971,1400,971,1257,"Olfr140","olfactory receptor 140"
"260","ENSMUSG00000075065",-0.962313495051915,1.02590820434612,6.52998374950904,0.0106070926045389,0.467560642008075,45,45,88,29,29,51,"Olfr1270","olfactory receptor 1270"
"274","ENSMUSG00000095030",-0.872922112378755,1.3024378465732,6.36209786152744,0.0116583620075391,0.491346419471092,37,71,106,27,57,53,"Olfr1513","olfactory receptor 1513"
"295","ENSMUSG00000073900",-1.10764984719759,0.557094980114019,6.25022020644646,0.0124177868122379,0.491346419471092,33,59,35,16,34,23,"Olfr704","olfactory receptor 704"
"301","ENSMUSG00000075069",-0.675396392475379,3.1854094135378,6.22445377397215,0.0125997771928056,0.491346419471092,146,266,338,116,259,197,"Olfr1264","olfactory receptor 1264"
"306","ENSMUSG00000068535",-0.791155872947166,3.86347726333743,6.17863910877926,0.0129301689334498,0.491346419471092,352,467,372,185,386,306,"Olfr169","olfactory receptor 169"
"321","ENSMUSG00000048292",-0.946064753007522,2.74839534516431,5.98625931936994,0.01441774520961,0.529611840699674,186,148,229,80,97,208,"Olfr1417","olfactory receptor 1417"
"350","ENSMUSG00000075079",-1.61250609763087,-0.527804537780845,5.81037434436642,0.01593190250202,0.566353437329872,19,20,23,7,4,16,"Olfr1249","olfactory receptor 1249"
"388","ENSMUSG00000055571",-1.45776518768152,-0.604822620356846,5.54946020553483,0.0184863872120621,0.608397991979168,19,20,19,6,9,11,"Olfr305","olfactory receptor 305"
"402","ENSMUSG00000093942",-0.801908710407596,1.93088447578777,5.47782395291578,0.0192592197566194,0.608397991979168,109,87,122,70,64,90,"Olfr46","olfactory receptor 46"
