"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"3","ENSMUSG00000111448",3.10495651450908,2.95081792671809,172.171289220026,2.48286115385013e-39,2.73611299154284e-36,73,32,64,656,256,576,"Olfr912","olfactory receptor 912"
"4","ENSMUSG00000060114",2.88022274825354,3.18134018178059,121.754981071248,2.61181229247159e-28,1.43910857315185e-25,88,76,54,932,313,491,"Olfr910","olfactory receptor 910"
"9","ENSMUSG00000049926",1.96239769436063,1.96000310461408,49.4997422923195,1.98397783264971e-12,7.2878119052666e-10,70,53,40,332,146,181,"Olfr921","olfactory receptor 921"
"14","ENSMUSG00000096695",1.79136293047108,1.97810750515689,36.5184006980121,1.51231843969751e-09,4.16643730136664e-07,81,60,44,228,159,253,"Olfr196","olfactory receptor 196"
"19","ENSMUSG00000049674",1.85386491601299,0.825953575956588,30.2663766742333,3.76597995067608e-08,8.30021981129008e-06,34,22,22,134,76,77,"Olfr714","olfactory receptor 714"
"28","ENSMUSG00000053391",0.731007781175416,4.63426739627188,24.1642707181883,8.84582389076586e-07,0.000162468298793733,910,633,461,1278,1009,952,"Olfr211","olfactory receptor 211"
"35","ENSMUSG00000042774",1.50412679658342,1.62756743457199,21.9138144733392,2.85173623861518e-06,0.000448944762136275,58,71,38,210,105,165,"Olfr1353","olfactory receptor 1353"
"76","ENSMUSG00000060112",1.02649283648454,3.08502879167466,15.5855544347243,7.88547326841613e-05,0.0108622394272432,305,210,100,521,289,375,"Olfr60","olfactory receptor 60"
"86","ENSMUSG00000094810",2.99767011720313,-1.39566425125449,15.0812081070433,0.000102983396512463,0.0126097447729705,4,2,1,39,9,14,"Olfr907","olfactory receptor 907"
"155","ENSMUSG00000046493",0.958334313764789,2.30691794202105,12.3801183668954,0.000433929641009754,0.0478190464392749,171,131,56,370,161,159,"Olfr1352","olfactory receptor 1352"
"247","ENSMUSG00000073937",0.847573270625936,2.06908757024682,10.5570101862764,0.00115748265344653,0.115958716736189,115,141,61,241,182,134,"Olfr633","olfactory receptor 633"
"306","ENSMUSG00000061489",0.823017111435124,2.27317576777471,10.0635751362315,0.00151229477919562,0.138879070556131,196,105,68,311,218,115,"Olfr525","olfactory receptor 525"
