"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"10","ENSMUSG00000050763",1.83233137199225,5.12126961259061,47.6035238940985,5.21746123707172e-12,5.74964228325304e-09,329,246,439,1096,583,2880,"Olfr1395","olfactory receptor 1395"
"17","ENSMUSG00000094858",2.20795541052587,2.22658428534759,30.8872465650201,2.73462954877968e-08,1.50296835599288e-05,39,43,40,243,109,284,"Olfr1297","olfactory receptor 1297"
"19","ENSMUSG00000050158",2.10756055183192,1.54636307292499,30.1055596407784,4.09156539743978e-08,1.50296835599288e-05,28,18,30,100,56,232,"Olfr165","olfactory receptor 165"
"39","ENSMUSG00000063844",-1.37021486853215,1.81634612722819,17.2590205957087,3.26145431045178e-05,0.00898530662529465,183,92,130,93,40,38,"Olfr1276","olfactory receptor 1276"
"50","ENSMUSG00000101750",-0.780637138073568,4.24399826136886,15.0599503674136,0.00010414974899629,0.0229546046787823,528,473,856,284,275,628,"Olfr1392","olfactory receptor 1392"
"86","ENSMUSG00000075068",-0.538703018203996,6.11557806629513,11.6497451223791,0.000642113321629421,0.117934813405937,2112,1578,2760,1409,1077,2313,"Olfr140","olfactory receptor 140"
"124","ENSMUSG00000044170",-0.899550727334441,4.53771939194827,9.62651785703304,0.00191787881588367,0.301928922157686,863,796,714,611,244,571,"Olfr1384","olfactory receptor 1384"
"214","ENSMUSG00000056858",4.6207133402244,-3.00602940894852,7.64731008380661,0.00568570386573208,0.780565089830666,0,0,0,3,3,3,"Olfr1502","olfactory receptor 1502"
"229","ENSMUSG00000047960",1.10080805846806,1.20859123762127,7.44116785284585,0.00637485100587658,0.780565089830666,45,50,22,68,85,107,"Olfr186","olfactory receptor 186"
"269","ENSMUSG00000049797",-0.74277156796675,3.19080855668785,7.01634136288892,0.00807691005934977,0.815231461906814,176,218,479,126,109,332,"Olfr642","olfactory receptor 642"
"272","ENSMUSG00000109212",-1.41835617745751,0.0396334778783177,7.00295691145237,0.00813751912974134,0.815231461906814,52,34,27,26,6,15,"Olfr126","olfactory receptor 126"
"321","ENSMUSG00000100923",4.45798226906506,-3.01301506594929,6.60080770904645,0.010193251685303,0.86105284471788,0,0,0,2,6,1,"Olfr10","olfactory receptor 10"
"335","ENSMUSG00000071522",-0.710768007832726,3.04664329374484,6.4858505383221,0.0108736498414536,0.86105284471788,282,274,267,217,167,152,"Olfr263","olfactory receptor 263"
"336","ENSMUSG00000075072",-1.0747544243944,1.35698778191813,6.47520568697858,0.0109389653593923,0.86105284471788,115,83,70,32,31,82,"Olfr48","olfactory receptor 48"
"371","ENSMUSG00000073975",-0.917695479644258,1.86320571530659,6.21117779849137,0.0126946140503101,0.932630978896115,109,100,149,69,31,120,"Olfr550","olfactory receptor 550"
"399","ENSMUSG00000051046",-0.823242207288464,1.75477188520577,6.00999443175869,0.0142250723942921,0.977985230105831,221,73,65,109,33,60,"Olfr214","olfactory receptor 214"
"429","ENSMUSG00000107417",-0.851072953830259,1.86904113040422,5.87374280075596,0.0153683435904755,0.977985230105831,169,133,79,98,50,71,"Olfr1383","olfactory receptor 1383"
"453","ENSMUSG00000049149",-0.621835323645094,4.36322756794227,5.74904381301626,0.0164976339961561,0.977985230105831,455,574,882,390,256,729,"Olfr1258","olfactory receptor 1258"
"463","ENSMUSG00000075091",-0.867763495231583,1.15103639577384,5.71070001257287,0.0168618143121695,0.977985230105831,92,60,72,43,28,61,"Olfr1233","olfactory receptor 1233"
"489","ENSMUSG00000096477",-0.780355205650039,2.24418584762244,5.58816330862212,0.0180822467431607,0.996331795548155,175,125,163,92,56,154,"Olfr92","olfactory receptor 92"
"548","ENSMUSG00000095095",-3.17909208882888,-2.81479534727041,5.22683769586325,0.0222409333860392,1,6,3,2,0,1,0,"Olfr385","olfactory receptor 385"
"553","ENSMUSG00000095286",-0.801133054415627,1.78164977941668,5.16626019550221,0.0230297435029299,1,109,98,131,90,39,84,"Olfr117","olfactory receptor 117"
"591","ENSMUSG00000052508",-0.514354646126872,6.29400990483228,4.99647888850609,0.0253989398059525,1,2118,2530,2603,1902,1218,2393,"Olfr536","olfactory receptor 536"
"599","ENSMUSG00000095586",-3.63206139442172,-3.39551888742939,4.97015825293414,0.0257882878562707,1,1,2,1,0,0,0,"Olfr1287","olfactory receptor 1287"
"607","ENSMUSG00000057349",1.25333948480193,-0.0541261145282857,4.95438027704671,0.0260246510383801,1,31,12,5,40,26,37,"Olfr948","olfactory receptor 948"
"635","ENSMUSG00000032987",-0.559292736520324,3.99677081984612,4.86489049770242,0.0274085379454814,1,692,358,448,628,197,322,"Olfr281","olfactory receptor 281"
"645","ENSMUSG00000040328",-0.690113066659903,2.38234044978609,4.81675800407715,0.0281843085021437,1,196,184,137,101,99,138,"Olfr56","olfactory receptor 56"
"698","ENSMUSG00000095831",-1.11795458244888,0.0772892980809023,4.67238708709126,0.0306512962814182,1,42,42,26,14,14,26,"Olfr453","olfactory receptor 453"
"706","ENSMUSG00000075081",-0.643909937770861,1.8090691793568,4.64633709777938,0.0311198847243968,1,142,106,97,67,85,79,"Olfr1247","olfactory receptor 1247"
"712","ENSMUSG00000059303",-2.14149589839982,-2.14563397268508,4.63931377896742,0.03124749477688,1,10,6,5,3,0,2,"Olfr836","olfactory receptor 836"
"782","ENSMUSG00000070943",2.52007500165639,-2.54155450236863,4.48618986729175,0.0341697526305492,1,1,1,0,2,6,7,"Olfr356","olfactory receptor 356"
"826","ENSMUSG00000063137",0.896641407444986,0.481141571238501,4.38704580166502,0.0362130084672855,1,22,22,28,42,33,72,"Olfr177","olfactory receptor 177"
"962","ENSMUSG00000060049",-0.801385244692677,0.650909299365852,4.23082127848778,0.0396962279463934,1,69,44,45,27,35,32,"Olfr235","olfactory receptor 235"
"1000","ENSMUSG00000081945",1.19938659242975,-0.560859375060857,4.15122201432174,0.0416044882554833,1,6,11,13,25,26,21,"Olfr607","olfactory receptor 607"
"1012","ENSMUSG00000111273",-0.54799994149226,2.65425706638206,4.13710954292965,0.0419527469026495,1,250,150,205,134,129,167,"Olfr789","olfactory receptor 789"
"1027","ENSMUSG00000064110",1.42519396037426,-0.763284111657772,4.09984190205301,0.0428872236904594,1,1,17,8,14,25,22,"Olfr963","olfactory receptor 963"
"1103","ENSMUSG00000062037",-0.846767113958915,4.2850288707673,3.99320496947642,0.0456840891401615,1,745,666,489,507,136,637,"Olfr285","olfactory receptor 285"
"1117","ENSMUSG00000050366",-0.536704978124028,3.71578192191972,3.98422886977141,0.0459281189424634,1,385,484,382,354,272,284,"Olfr524","olfactory receptor 524"
"1129","ENSMUSG00000059687",3.35673811300379,-3.40197900736367,3.95482135319906,0.0467372788234885,1,0,0,0,1,3,0,"Olfr108","olfactory receptor 108"
"1162","ENSMUSG00000058194",-2.28237507753885,-1.82994403040406,3.92707880067455,0.0475144120925864,1,7,12,8,7,0,1,"Olfr1126","olfactory receptor 1126"
"1175","ENSMUSG00000094669",0.711968378571103,1.06222170411702,3.90885463745524,0.0480323219664019,1,34,46,44,71,75,68,"Olfr441","olfactory receptor 441"
"1201","ENSMUSG00000075137",-1.65543873493831,-1.75496240194777,3.88215712429228,0.0488018175049616,1,15,7,6,7,2,1,"Olfr1163","olfactory receptor 1163"
"1266","ENSMUSG00000073922",0.715972197234218,0.939283929729053,3.80656064830673,0.0510521789599225,1,45,34,34,47,78,74,"Olfr659","olfactory receptor 659"
"1289","ENSMUSG00000057801",1.67942931056068,-1.63908122018108,3.77696703936384,0.0519627695903755,1,5,0,6,10,9,12,"Olfr135","olfactory receptor 135"
"1330","ENSMUSG00000075097",-0.478211152733789,3.66696122561836,3.74524621154147,0.0529579246763805,1,452,416,331,363,272,273,"Olfr1226","olfactory receptor 1226"
"1422","ENSMUSG00000045202",-0.656125994045392,1.62321920840349,3.62476619582635,0.0569255700953026,1,110,105,83,66,51,84,"Olfr123","olfactory receptor 123"
"1425","ENSMUSG00000060759",3.22812635413628,-3.48886960050729,3.62289302460938,0.0569896909176786,1,0,0,0,2,0,1,"Olfr503","olfactory receptor 503"
"1432","ENSMUSG00000095667",3.22812635413628,-3.48886960050729,3.62289302460938,0.0569896909176786,1,0,0,0,2,0,1,"Olfr854","olfactory receptor 854"
