"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000044798",3.85190557896175,5.2578348574202,145.146702565503,1.99474891518652e-33,2.19821330453555e-30,79,141,175,2490,3073,952,"Olfr923","olfactory receptor 923"
"4","ENSMUSG00000061952",2.33604927209939,3.36701339848234,86.5081174161701,1.39164917564142e-20,7.66798695778422e-18,91,104,62,784,583,198,"Olfr1377","olfactory receptor 1377"
"5","ENSMUSG00000044205",2.50388854582679,3.37523220874519,77.4734201254714,1.34520623992818e-18,4.94139092133618e-16,52,111,77,535,862,216,"Olfr983","olfactory receptor 983"
"11","ENSMUSG00000066748",1.98959220897024,3.83390750006867,43.7316320772053,3.76634803655489e-11,1.03762888407087e-08,145,123,169,911,902,277,"Olfr145","olfactory receptor 145"
"13","ENSMUSG00000042863",1.96081779846147,1.97965763056902,35.6800162407138,2.32537183763144e-09,5.12511953013969e-07,35,46,40,285,186,88,"Olfr1026","olfactory receptor 1026"
"15","ENSMUSG00000052058",1.51948502614583,2.71706110551386,32.6281019280663,1.11589588144469e-08,2.04952876892008e-06,75,145,51,355,415,109,"Olfr901","olfactory receptor 901"
"19","ENSMUSG00000096409",2.59327459201336,1.57142202017296,25.6427647257206,4.10832974172995e-07,6.46768482198058e-05,9,20,40,200,183,62,"Olfr890","olfactory receptor 890"
"30","ENSMUSG00000096356",2.0514375251938,1.41798672395985,21.3018394427575,3.92354828136199e-06,0.000540468775757614,18,24,31,211,134,41,"Olfr889","olfactory receptor 889"
"65","ENSMUSG00000063350",1.24558392003216,1.99104311959547,14.3804598433702,0.00014934403744089,0.0182863476955401,42,86,62,219,147,119,"Olfr874","olfactory receptor 874"
"87","ENSMUSG00000059189",1.55770041806583,2.23425911407979,12.5791843889245,0.000390066922314886,0.0429853748391004,35,75,60,381,195,71,"Olfr913","olfactory receptor 913"
"175","ENSMUSG00000095527",2.43842663179998,-1.07309714368381,9.53011852779743,0.00202127065745523,0.186397930247314,1,5,3,34,20,7,"Olfr888","olfactory receptor 888"
"177","ENSMUSG00000075377",-0.888080020179429,2.37177955625042,9.522443412138,0.00202974152719398,0.186397930247314,292,99,148,165,99,51,"Olfr362","olfactory receptor 362"
"207","ENSMUSG00000049149",-0.475377456047053,4.36352604873792,8.91136932825076,0.00283400681103886,0.240236577366525,498,1024,450,433,796,308,"Olfr1258","olfactory receptor 1258"
"213","ENSMUSG00000094612",0.803268013796012,3.48939026682791,8.73820713889145,0.00311610752019259,0.245282177660874,141,445,121,506,555,182,"Olfr491","olfactory receptor 491"
"232","ENSMUSG00000094426",1.17360738571534,0.660426099521065,8.36954515429688,0.00381561108077157,0.280320227400685,14,21,45,70,51,58,"Olfr478","olfactory receptor 478"
"257","ENSMUSG00000029184",0.798486245503954,3.18956509253399,8.02261018386373,0.00461969426986452,0.318181442836919,132,242,162,491,331,210,"Olfr109","olfactory receptor 109"
"305","ENSMUSG00000061561",-0.768739008537116,1.62691420774766,7.35857070165268,0.00667438271795246,0.432657044422565,126,111,72,76,87,38,"Olfr373","olfactory receptor 373"
"346","ENSMUSG00000090129",0.657671198141141,2.50123271875832,7.05763583544345,0.00789280900290842,0.473332655731104,140,113,99,257,179,166,"Olfr287","olfactory receptor 287"
"363","ENSMUSG00000059610",-0.451224416809668,4.80210287541559,6.84999313819633,0.00886416130683181,0.473332655731104,1221,737,636,898,854,360,"Olfr222","olfactory receptor 222"
"383","ENSMUSG00000059106",0.785174247900579,1.26448941472231,6.73509105419304,0.00945344065492823,0.473332655731104,36,39,66,83,67,105,"Olfr961","olfactory receptor 961"
"392","ENSMUSG00000059069",0.649394523844359,3.9538217857787,6.68958876155602,0.00969775730463917,0.473332655731104,294,371,243,952,626,208,"Olfr749","olfactory receptor 749"
"404","ENSMUSG00000069998",1.05580329720022,0.493581506808036,6.65488697519952,0.00988842430795144,0.473332655731104,24,31,16,42,66,50,"Olfr372","olfactory receptor 372"
"411","ENSMUSG00000061520",4.57972380382735,-3.01741354128574,6.62061404595736,0.0100805072925155,0.473332655731104,0,0,0,4,0,5,"Olfr153","olfactory receptor 153"
"419","ENSMUSG00000063216",1.31092064315924,-0.325779693514499,6.58078964695891,0.0103085151883362,0.473332655731104,7,10,18,28,25,36,"Olfr1351","olfactory receptor 1351"
"498","ENSMUSG00000069816",1.11208097266896,0.136607669112029,6.15763971308134,0.0130845692252201,0.576767811447702,10,12,32,23,31,66,"Olfr23","olfactory receptor 23"
"553","ENSMUSG00000044824",1.08745558241734,0.307428659284566,5.876027745466,0.0153484106682478,0.610160368344137,26,22,10,84,31,27,"Olfr545","olfactory receptor 545"
"562","ENSMUSG00000110526",4.33777523167039,-3.02431828668045,5.84078309423216,0.0156588559241756,0.610160368344137,0,0,0,6,3,0,"Olfr151","olfactory receptor 151"
"564","ENSMUSG00000049797",-0.575631301374177,3.95599665434431,5.824251417025,0.0158066937972997,0.610160368344137,436,602,390,324,766,149,"Olfr642","olfactory receptor 642"
"593","ENSMUSG00000044286",-0.935930808452173,0.696098719636256,5.69495935457959,0.0170137065686326,0.610160368344137,29,99,46,27,37,25,"Olfr221","olfactory receptor 221"
"594","ENSMUSG00000096840",0.58374544658352,3.28084744750085,5.69347181935253,0.0170281336068597,0.610160368344137,191,221,202,509,341,203,"Olfr136","olfactory receptor 136"
"598","ENSMUSG00000096584",0.749155068709697,1.32658863949974,5.67950384600548,0.0171642208880837,0.610160368344137,28,51,76,80,101,83,"Olfr611","olfactory receptor 611"
"633","ENSMUSG00000096009",-1.43615955181243,-0.403610640840556,5.57751754802399,0.0181924924037265,0.626503957153331,25,28,27,9,5,21,"Olfr134","olfactory receptor 134"
"702","ENSMUSG00000068647",1.13193820332225,0.109458043253907,5.32127689635359,0.0210665687787991,0.676830908758118,17,28,8,54,39,27,"Olfr1278","olfactory receptor 1278"
"715","ENSMUSG00000062037",-0.394431145740579,4.42144858872566,5.28260338551937,0.0215395181175948,0.676830908758118,483,782,748,571,628,430,"Olfr285","olfactory receptor 285"
"744","ENSMUSG00000108534",0.986556070384036,0.325099714499616,5.19310751931602,0.022676633300457,0.676830908758118,26,14,25,47,56,35,"Olfr1360","olfactory receptor 1360"
"747","ENSMUSG00000096068",-2.35998658268668,-2.40877469775084,5.18958095955599,0.0227226945171204,0.676830908758118,5,3,9,1,1,1,"Olfr486","olfactory receptor 486"
"755","ENSMUSG00000073922",0.664006931960117,1.67678505707322,5.16577703877966,0.0230361501886638,0.676830908758118,73,62,62,102,117,116,"Olfr659","olfactory receptor 659"
"798","ENSMUSG00000101918",0.665061442684644,1.39736499069633,5.07061005750698,0.0243348179893853,0.676830908758118,48,60,52,94,129,60,"Olfr1225","olfactory receptor 1225"
"802","ENSMUSG00000096151",-0.470071206686878,4.16550791748955,5.06187209325773,0.0244578045493443,0.676830908758118,646,640,308,787,540,133,"Olfr477","olfactory receptor 477"
