"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"27","ENSMUSG00000070423",1.39252239147477,2.01331366398454,27.5179437308165,1.55643764705556e-07,0.000119710571569722,43,66,79,89,142,278,"Olfr558","olfactory receptor 558"
"29","ENSMUSG00000067064",1.69308714426556,1.46285649401902,26.873111895017,2.17260565462291e-07,0.000119710571569722,27,46,35,74,87,201,"Olfr1416","olfactory receptor 1416"
"61","ENSMUSG00000059043",0.615655996473692,4.63775338154328,18.2954332554131,1.89160086956231e-05,0.00694848052752555,421,718,572,557,973,1008,"Olfr15","olfactory receptor 15"
"66","ENSMUSG00000094422",1.43384912754421,0.901567579703006,17.3256827215401,3.14902012619392e-05,0.00867555044766425,18,29,39,59,63,101,"Olfr205","olfactory receptor 205"
"86","ENSMUSG00000054498",1.10699572902649,1.62474007669525,15.3276051936336,9.03860161116282e-05,0.0199210779510029,30,79,60,62,124,168,"Olfr308","olfactory receptor 308"
"111","ENSMUSG00000094285",0.521367506259437,5.9080080239741,14.4211492830449,0.000146151675996951,0.0247143651938074,2713,1063,518,2966,1151,1150,"Olfr743","olfactory receptor 743"
"118","ENSMUSG00000109058",1.09492143509885,1.40005455164667,14.2864872920532,0.000156987800686617,0.0247143651938074,31,42,67,48,83,182,"Olfr705","olfactory receptor 705"
"187","ENSMUSG00000059488",0.590548939871242,4.64205231399955,11.9878915933164,0.000535473389234069,0.073761459366993,505,695,503,465,1021,1101,"Olfr727","olfactory receptor 727"
"203","ENSMUSG00000048173",0.873119202199155,2.05905293882592,11.750809360581,0.000608167862138826,0.074466776008554,56,70,130,93,123,245,"Olfr1324","olfactory receptor 1324"
"249","ENSMUSG00000046790",0.768801809417793,2.98172193470107,10.7789773765546,0.00102659382514452,0.112026487913211,139,184,169,139,322,408,"Olfr1341","olfactory receptor 1341"
"267","ENSMUSG00000043892",0.526590290931828,4.07631540220511,10.6207915027814,0.00111823173053114,0.112026487913211,423,419,349,502,537,601,"Olfr1018","olfactory receptor 1018"
"286","ENSMUSG00000071494",0.556599355126965,4.45399510175211,10.3838276610238,0.00127123878754762,0.116742095323123,380,719,456,462,763,988,"Olfr455","olfactory receptor 455"
"332","ENSMUSG00000053815",1.20758594757946,1.17077108599623,9.89127818016059,0.00166063980290773,0.130790722014888,19,64,38,75,67,110,"Olfr744","olfactory receptor 744"
"350","ENSMUSG00000073897",0.621081419564875,3.51699929411315,9.70482570458701,0.00183784753953833,0.130790722014888,162,395,239,227,456,477,"Olfr17","olfactory receptor 17"
"357","ENSMUSG00000069390",0.901004988797743,1.23941467947935,9.59894381992731,0.00194689319743182,0.130790722014888,46,52,41,76,86,86,"Olfr707","olfactory receptor 707"
"363","ENSMUSG00000068808",1.16993295159443,0.550156535743425,9.54578951630928,0.00200408604168837,0.130790722014888,20,34,21,35,60,69,"Olfr1189","olfactory receptor 1189"
"366","ENSMUSG00000094846",0.932007008953819,1.40235347417379,9.5334156393791,0.00201764271710808,0.130790722014888,21,37,91,25,72,218,"Olfr1487","olfactory receptor 1487"
"392","ENSMUSG00000050763",0.657980690351856,3.19778201642467,9.24263964602265,0.00236443869357282,0.136386344485262,131,249,227,152,309,535,"Olfr1395","olfactory receptor 1395"
"398","ENSMUSG00000061972",0.776493626610772,2.40625799006917,9.1807273092837,0.00244576814165093,0.136386344485262,97,91,150,125,200,236,"Olfr99","olfactory receptor 99"
"410","ENSMUSG00000069823",0.834532009518973,2.35867108897728,9.09052073107786,0.00256937706085586,0.136386344485262,80,152,87,112,176,269,"Olfr1","olfactory receptor 1"
"414","ENSMUSG00000061561",0.98642937950812,1.11934617277429,9.06691758786969,0.00260275441960557,0.136386344485262,14,36,80,35,66,140,"Olfr373","olfactory receptor 373"
"429","ENSMUSG00000060765",1.11565912969335,0.87052321860531,8.91373888843732,0.00283033195595228,0.136386344485262,19,46,33,50,52,104,"Olfr325","olfactory receptor 325"
"430","ENSMUSG00000052508",0.676244586860114,5.75733894038626,8.90331195932687,0.00284653895023687,0.136386344485262,898,1707,981,1051,1535,3358,"Olfr536","olfactory receptor 536"
"448","ENSMUSG00000045030",1.03496590535779,3.12060920909318,8.70706224662951,0.00316979618041935,0.145546474617588,131,270,101,402,212,311,"Olfr1443","olfactory receptor 1443"
"457","ENSMUSG00000073969",0.808837358742348,1.49699198574888,8.61913768289323,0.00332649286725581,0.146631805588636,54,52,67,81,75,145,"Olfr556","olfactory receptor 556"
"468","ENSMUSG00000096858",0.667817410994483,2.51276370277472,8.50962315256821,0.00353273215613922,0.149733493694824,94,139,145,117,213,266,"Olfr805","olfactory receptor 805"
"512","ENSMUSG00000093866",2.23700030345379,-1.45865475617456,8.25764841116631,0.0040580660871963,0.163490281637958,2,5,2,9,20,12,"Olfr802","olfactory receptor 802"
