,Odor,PubChem CID,AUROC Lambda_1se
1,Cyclopentanethiol,15510,0.907057751199246
2,Ethyl butyrate,7762,0.868184298514518
3,2-Methyl-2-propanethiol,6387,0.857723272667829
4,(Methylthio)methanethiol,122370,0.847451092622498
5,Dimethyl trisulfide,19310,0.844189283982525
6,Butyric acid,264,0.822583846152672
7,Acetophenone,7410,0.807932535182154
8,(+)-2-Octanol,2723888,0.801305310800716
9,nTMT,61653,0.795724550931315
10,(-)-2-Octanol,80080,0.786932486473771
11,Pyridine,1049,0.77789008442454
12,2-Ethyl-3-methylpyrazine,27457,0.775289287906691
13,2-Butene-1-thiol,6433451,0.773714222105158
14,Octanal,454,0.768639413407594
15,(+)-Menthol,165675,0.767866547307383
16,4-Methylacetophenone,8500,0.761210560770068
17,Anisaldehyde,31244,0.693239436619718
18,DHB,536095,0.662159870338543
19,"2,5-Dimethylpyrazine",31252,0.642138192044137
20,Guaiacol,460,0.641667438431015
21,SBT,162148,0.528386881716826
22,p-Cresol,2879,0.489596884817912
23,Citronellol,8842,0.420950910223681
24,Citral,638011,0.416054774498886
25,Heptanal,8130,0.398666704742209
26,Diacetyl,650,0.397330566614931
27,2-Methyl-2-pentenal,5319754,0.396691786990909
28,(-)-Carvone,439570,0.391758927386168
29,β-Damascone,32052,0.389826226917162
30,(+)-Carvone,16724,0.389631970770366
31,2-Phenylethanol,6054,0.377623474213742
32,(E)-β-farnesene,5281517,0.371287310293045
33,2M2T,16867,0.363446347799712
34,(-)-Menthol,16666,0.362790282457872
35,TMT,263626,0.362726222564497
36,Isoamyl acetate,31276,0.348255759805348
