,0,1,2
0,ENSMUSG00000000001,Gnai3,"guanine nucleotide binding protein (G protein), alpha inhibiting 3"
0,ENSMUSG00000000003,Pbsn,probasin
0,ENSMUSG00000000028,Cdc45,cell division cycle 45
0,ENSMUSG00000000031,H19,"H19, imprinted maternally expressed transcript"
0,ENSMUSG00000000037,Scml2,Scm polycomb group protein like 2
0,ENSMUSG00000000049,Apoh,apolipoprotein H
0,ENSMUSG00000000056,Narf,nuclear prelamin A recognition factor
0,ENSMUSG00000000058,Cav2,caveolin 2
0,ENSMUSG00000000078,Klf6,Kruppel-like factor 6
0,ENSMUSG00000000085,Scmh1,sex comb on midleg homolog 1
0,ENSMUSG00000000088,Cox5a,cytochrome c oxidase subunit 5A
0,ENSMUSG00000000093,Tbx2,T-box 2
0,ENSMUSG00000000094,Tbx4,T-box 4
0,ENSMUSG00000000103,Zfy2,"zinc finger protein 2, Y-linked"
0,ENSMUSG00000000120,Ngfr,"nerve growth factor receptor (TNFR superfamily, member 16)"
0,ENSMUSG00000000125,Wnt3,"wingless-type MMTV integration site family, member 3"
0,ENSMUSG00000000126,Wnt9a,"wingless-type MMTV integration site family, member 9A"
0,ENSMUSG00000000127,Fer,fer (fms/fps related) protein kinase
0,ENSMUSG00000000131,Xpo6,exportin 6
0,ENSMUSG00000000134,Tfe3,transcription factor E3
0,ENSMUSG00000000142,Axin2,axin 2
0,ENSMUSG00000000148,Brat1,BRCA1-associated ATM activator 1
0,ENSMUSG00000000149,Gna12,"guanine nucleotide binding protein, alpha 12"
0,ENSMUSG00000000154,Slc22a18,"solute carrier family 22 (organic cation transporter), member 18"
0,ENSMUSG00000000157,Itgb2l,integrin beta 2-like
0,ENSMUSG00000000159,Igsf5,"immunoglobulin superfamily, member 5"
0,ENSMUSG00000000167,Pih1d2,PIH1 domain containing 2
0,ENSMUSG00000000168,Dlat,dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)
0,ENSMUSG00000000171,Sdhd,"succinate dehydrogenase complex, subunit D, integral membrane protein"
0,ENSMUSG00000000182,Fgf23,fibroblast growth factor 23
0,ENSMUSG00000000183,Fgf6,fibroblast growth factor 6
0,ENSMUSG00000000184,Ccnd2,cyclin D2
0,ENSMUSG00000000194,Gpr107,G protein-coupled receptor 107
0,ENSMUSG00000000197,Nalcn,"sodium leak channel, non-selective"
0,ENSMUSG00000000202,Btbd17,BTB (POZ) domain containing 17
0,ENSMUSG00000000204,Slfn4,schlafen 4
0,ENSMUSG00000000214,Th,tyrosine hydroxylase
0,ENSMUSG00000000215,Ins2,insulin II
0,ENSMUSG00000000216,Scnn1g,"sodium channel, nonvoltage-gated 1 gamma"
0,ENSMUSG00000000223,Drp2,dystrophin related protein 2
0,ENSMUSG00000000244,Tspan32,tetraspanin 32
0,ENSMUSG00000000247,Lhx2,LIM homeobox protein 2
0,ENSMUSG00000000248,Clec2g,"C-type lectin domain family 2, member g"
0,ENSMUSG00000000253,Gmpr,guanosine monophosphate reductase
0,ENSMUSG00000000263,Glra1,"glycine receptor, alpha 1 subunit"
0,ENSMUSG00000000266,Mid2,midline 2
0,ENSMUSG00000000275,Trim25,tripartite motif-containing 25
0,ENSMUSG00000000276,Dgke,"diacylglycerol kinase, epsilon"
0,ENSMUSG00000000278,Scpep1,serine carboxypeptidase 1
0,ENSMUSG00000000282,Mnt,max binding protein
0,ENSMUSG00000000290,Itgb2,integrin beta 2
0,ENSMUSG00000000295,Hddc2,HD domain containing 2
0,ENSMUSG00000000296,Tpd52l1,tumor protein D52-like 1
0,ENSMUSG00000000301,Pemt,phosphatidylethanolamine N-methyltransferase
0,ENSMUSG00000000303,Cdh1,cadherin 1
0,ENSMUSG00000000305,Cdh4,cadherin 4
0,ENSMUSG00000000308,Ckmt1,"creatine kinase, mitochondrial 1, ubiquitous"
0,ENSMUSG00000000317,Bcl6b,"B cell CLL/lymphoma 6, member B"
0,ENSMUSG00000000318,Clec10a,"C-type lectin domain family 10, member A"
0,ENSMUSG00000000320,Alox12,arachidonate 12-lipoxygenase
0,ENSMUSG00000000325,no_symbol,no_name
0,ENSMUSG00000000326,Comt,catechol-O-methyltransferase
0,ENSMUSG00000000339,Rtca,RNA 3'-terminal phosphate cyclase
0,ENSMUSG00000000340,Dbt,dihydrolipoamide branched chain transacylase E2
0,ENSMUSG00000000346,Dazap2,DAZ associated protein 2
0,ENSMUSG00000000355,Mcts1,malignant T cell amplified sequence 1
0,ENSMUSG00000000359,Rem1,rad and gem related GTP binding protein 1
0,ENSMUSG00000000365,Rnf17,ring finger protein 17
0,ENSMUSG00000000374,Trappc10,trafficking protein particle complex 10
0,ENSMUSG00000000378,Ccm2,cerebral cavernous malformation 2
0,ENSMUSG00000000381,Wap,whey acidic protein
0,ENSMUSG00000000384,Tbrg4,transforming growth factor beta regulated gene 4
0,ENSMUSG00000000385,Tmprss2,"transmembrane protease, serine 2"
0,ENSMUSG00000000386,Mx1,MX dynamin-like GTPase 1
0,ENSMUSG00000000392,Fap,fibroblast activation protein
0,ENSMUSG00000000394,Gcg,glucagon
0,ENSMUSG00000000399,Ndufa9,NADH:ubiquinone oxidoreductase subunit A9
0,ENSMUSG00000000402,Egfl6,"EGF-like-domain, multiple 6"
0,ENSMUSG00000000409,Lck,lymphocyte protein tyrosine kinase
0,ENSMUSG00000000411,Tssk3,testis-specific serine kinase 3
0,ENSMUSG00000000416,Cttnbp2,cortactin binding protein 2
0,ENSMUSG00000000420,Galnt1,polypeptide N-acetylgalactosaminyltransferase 1
0,ENSMUSG00000000435,Myf5,myogenic factor 5
0,ENSMUSG00000000439,Mkrn2,"makorin, ring finger protein, 2"
0,ENSMUSG00000000440,Pparg,peroxisome proliferator activated receptor gamma
0,ENSMUSG00000000441,Raf1,v-raf-leukemia viral oncogene 1
